"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100018","475","201274","Ivan Johnson","1610612737","Atlanta Hawks","4","6","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","4","1","0","20111227","NJN","ATL"
"Shot Chart Detail","0021100018","513","201274","Ivan Johnson","1610612737","Atlanta Hawks","4","3","2","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-73","22","1","1","20111227","NJN","ATL"
"Shot Chart Detail","0021100094","418","201274","Ivan Johnson","1610612737","Atlanta Hawks","3","0","55","Made Shot","Running Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","0","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","441","201274","Ivan Johnson","1610612737","Atlanta Hawks","4","11","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-117","168","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","444","201274","Ivan Johnson","1610612737","Atlanta Hawks","4","10","34","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","3","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","452","201274","Ivan Johnson","1610612737","Atlanta Hawks","4","10","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","125","167","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","628","201274","Ivan Johnson","1610612737","Atlanta Hawks","5","0","40","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","3","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","671","201274","Ivan Johnson","1610612737","Atlanta Hawks","6","2","12","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","7","1","1","20120105","ATL","MIA"
"Shot Chart Detail","0021100094","690","201274","Ivan Johnson","1610612737","Atlanta Hawks","6","0","39","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","3","1","0","20120105","ATL","MIA"
"Shot Chart Detail","0021100101","76","201274","Ivan Johnson","1610612737","Atlanta Hawks","1","2","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","94","170","1","0","20120106","CHA","ATL"
"Shot Chart Detail","0021100110","298","201274","Ivan Johnson","1610612737","Atlanta Hawks","3","3","11","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","1","1","1","20120107","ATL","CHI"
"Shot Chart Detail","0021100110","306","201274","Ivan Johnson","1610612737","Atlanta Hawks","3","2","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","105","178","1","0","20120107","ATL","CHI"
