"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600036","460","200826","J.J. Barea","1610612742","Dallas Mavericks","4","2","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-222","107","1","0","20061104","HOU","DAL"
"Shot Chart Detail","0020600036","470","200826","J.J. Barea","1610612742","Dallas Mavericks","4","1","21","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","151","20","1","0","20061104","HOU","DAL"
"Shot Chart Detail","0020600036","485","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","8","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-149","-8","1","1","20061104","HOU","DAL"
"Shot Chart Detail","0020600137","268","200826","J.J. Barea","1610612742","Dallas Mavericks","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","136","250","1","0","20061118","DAL","MEM"
"Shot Chart Detail","0020600155","479","200826","J.J. Barea","1610612742","Dallas Mavericks","4","3","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061121","DAL","WAS"
"Shot Chart Detail","0020600155","505","200826","J.J. Barea","1610612742","Dallas Mavericks","4","1","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","210","117","1","0","20061121","DAL","WAS"
"Shot Chart Detail","0020600191","488","200826","J.J. Barea","1610612742","Dallas Mavericks","4","2","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061125","DAL","NOK"
"Shot Chart Detail","0020600191","523","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","144","122","1","0","20061125","DAL","NOK"
"Shot Chart Detail","0020600307","493","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","7","Missed Shot","Jump Shot","3PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","23","149","184","1","0","20061211","UTA","DAL"
"Shot Chart Detail","0020600335","181","200826","J.J. Barea","1610612742","Dallas Mavericks","2","3","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","108","146","1","0","20061215","DAL","PHI"
"Shot Chart Detail","0020600335","207","200826","J.J. Barea","1610612742","Dallas Mavericks","2","0","38","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-38","248","1","1","20061215","DAL","PHI"
"Shot Chart Detail","0020600335","216","200826","J.J. Barea","1610612742","Dallas Mavericks","2","0","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061215","DAL","PHI"
"Shot Chart Detail","0020600361","474","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-123","81","1","1","20061218","SAC","DAL"
"Shot Chart Detail","0020600388","396","200826","J.J. Barea","1610612742","Dallas Mavericks","4","4","27","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061222","DAL","LAC"
"Shot Chart Detail","0020600388","402","200826","J.J. Barea","1610612742","Dallas Mavericks","4","3","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-140","166","1","0","20061222","DAL","LAC"
"Shot Chart Detail","0020600448","481","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","135","125","1","0","20061230","DAL","NOK"
"Shot Chart Detail","0020600455","226","200826","J.J. Barea","1610612742","Dallas Mavericks","2","1","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-225","74","1","0","20061231","DEN","DAL"
"Shot Chart Detail","0020600746","430","200826","J.J. Barea","1610612742","Dallas Mavericks","4","5","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","202","45","1","1","20070209","DAL","HOU"
"Shot Chart Detail","0020600846","66","200826","J.J. Barea","1610612742","Dallas Mavericks","1","5","22","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070226","DAL","ATL"
"Shot Chart Detail","0020600846","83","200826","J.J. Barea","1610612742","Dallas Mavericks","1","2","39","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","5","189","1","0","20070226","DAL","ATL"
"Shot Chart Detail","0020600854","432","200826","J.J. Barea","1610612742","Dallas Mavericks","4","1","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-33","212","1","0","20070227","MIN","DAL"
"Shot Chart Detail","0020600947","441","200826","J.J. Barea","1610612742","Dallas Mavericks","4","6","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","113","63","1","1","20070312","GSW","DAL"
"Shot Chart Detail","0020600947","444","200826","J.J. Barea","1610612742","Dallas Mavericks","4","5","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","140","214","1","1","20070312","GSW","DAL"
"Shot Chart Detail","0020600947","450","200826","J.J. Barea","1610612742","Dallas Mavericks","4","5","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","100","77","1","0","20070312","GSW","DAL"
"Shot Chart Detail","0020600947","481","200826","J.J. Barea","1610612742","Dallas Mavericks","4","2","15","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","22","1","1","20070312","GSW","DAL"
"Shot Chart Detail","0020600947","500","200826","J.J. Barea","1610612742","Dallas Mavericks","4","0","28","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","13","1","1","20070312","GSW","DAL"
"Shot Chart Detail","0020601024","411","200826","J.J. Barea","1610612742","Dallas Mavericks","4","6","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-23","258","1","0","20070323","BOS","DAL"
"Shot Chart Detail","0020601024","422","200826","J.J. Barea","1610612742","Dallas Mavericks","4","4","12","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","7","1","1","20070323","BOS","DAL"
"Shot Chart Detail","0020601024","425","200826","J.J. Barea","1610612742","Dallas Mavericks","4","3","35","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","5","2","1","1","20070323","BOS","DAL"
"Shot Chart Detail","0020601024","439","200826","J.J. Barea","1610612742","Dallas Mavericks","4","2","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-107","135","1","0","20070323","BOS","DAL"
"Shot Chart Detail","0020601055","413","200826","J.J. Barea","1610612742","Dallas Mavericks","4","3","43","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","8","1","0","20070327","NOK","DAL"
"Shot Chart Detail","0020601055","416","200826","J.J. Barea","1610612742","Dallas Mavericks","4","3","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070327","NOK","DAL"
"Shot Chart Detail","0020601055","446","200826","J.J. Barea","1610612742","Dallas Mavericks","4","1","6","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","0","1","0","20070327","NOK","DAL"
