"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600186","475","200755","JJ Redick","1610612753","Orlando Magic","4","2","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","123","183","1","1","20061125","ORL","ATL"
"Shot Chart Detail","0020600186","494","200755","JJ Redick","1610612753","Orlando Magic","4","1","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","158","209","1","0","20061125","ORL","ATL"
"Shot Chart Detail","0020600263","378","200755","JJ Redick","1610612753","Orlando Magic","4","7","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","125","163","1","0","20061206","IND","ORL"
"Shot Chart Detail","0020600263","403","200755","JJ Redick","1610612753","Orlando Magic","4","4","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","8","18","1","0","20061206","IND","ORL"
"Shot Chart Detail","0020600263","420","200755","JJ Redick","1610612753","Orlando Magic","4","2","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","3","260","1","0","20061206","IND","ORL"
"Shot Chart Detail","0020600263","440","200755","JJ Redick","1610612753","Orlando Magic","4","0","49","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","240","56","1","1","20061206","IND","ORL"
"Shot Chart Detail","0020600315","380","200755","JJ Redick","1610612753","Orlando Magic","4","6","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","176","31","1","0","20061213","ORL","TOR"
"Shot Chart Detail","0020600315","416","200755","JJ Redick","1610612753","Orlando Magic","4","3","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","194","158","1","0","20061213","ORL","TOR"
"Shot Chart Detail","0020600315","464","200755","JJ Redick","1610612753","Orlando Magic","4","0","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","125","222","1","0","20061213","ORL","TOR"
"Shot Chart Detail","0020600326","111","200755","JJ Redick","1610612753","Orlando Magic","2","10","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-163","13","1","0","20061214","CHA","ORL"
"Shot Chart Detail","0020600326","124","200755","JJ Redick","1610612753","Orlando Magic","2","8","46","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","223","110","1","1","20061214","CHA","ORL"
"Shot Chart Detail","0020600326","136","200755","JJ Redick","1610612753","Orlando Magic","2","7","40","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-41","97","1","1","20061214","CHA","ORL"
"Shot Chart Detail","0020600326","143","200755","JJ Redick","1610612753","Orlando Magic","2","6","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","22","199","112","1","0","20061214","CHA","ORL"
"Shot Chart Detail","0020600326","330","200755","JJ Redick","1610612753","Orlando Magic","3","1","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","146","120","1","0","20061214","CHA","ORL"
"Shot Chart Detail","0020600326","338","200755","JJ Redick","1610612753","Orlando Magic","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-29","257","1","0","20061214","CHA","ORL"
"Shot Chart Detail","0020600343","135","200755","JJ Redick","1610612753","Orlando Magic","2","9","27","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061216","ORL","CLE"
"Shot Chart Detail","0020600343","138","200755","JJ Redick","1610612753","Orlando Magic","2","8","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","98","158","1","0","20061216","ORL","CLE"
"Shot Chart Detail","0020600343","170","200755","JJ Redick","1610612753","Orlando Magic","2","6","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-130","224","1","1","20061216","ORL","CLE"
"Shot Chart Detail","0020600343","223","200755","JJ Redick","1610612753","Orlando Magic","2","0","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-195","51","1","0","20061216","ORL","CLE"
"Shot Chart Detail","0020600343","236","200755","JJ Redick","1610612753","Orlando Magic","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","164","189","1","0","20061216","ORL","CLE"
"Shot Chart Detail","0020600343","375","200755","JJ Redick","1610612753","Orlando Magic","4","11","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","151","156","1","0","20061216","ORL","CLE"
"Shot Chart Detail","0020600442","385","200755","JJ Redick","1610612753","Orlando Magic","4","8","3","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","97","12","1","0","20061230","ORL","MIA"
"Shot Chart Detail","0020600442","424","200755","JJ Redick","1610612753","Orlando Magic","4","3","21","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","52","252","1","1","20061230","ORL","MIA"
"Shot Chart Detail","0020600442","434","200755","JJ Redick","1610612753","Orlando Magic","4","2","23","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","148","84","1","1","20061230","ORL","MIA"
"Shot Chart Detail","0020600460","131","200755","JJ Redick","1610612753","Orlando Magic","2","9","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","194","168","1","0","20070102","ORL","LAC"
"Shot Chart Detail","0020600481","127","200755","JJ Redick","1610612753","Orlando Magic","2","11","1","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","166","51","1","1","20070105","ORL","CHA"
"Shot Chart Detail","0020600481","138","200755","JJ Redick","1610612753","Orlando Magic","2","9","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-82","163","1","0","20070105","ORL","CHA"
"Shot Chart Detail","0020600481","174","200755","JJ Redick","1610612753","Orlando Magic","2","6","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","135","132","1","0","20070105","ORL","CHA"
"Shot Chart Detail","0020600481","511","200755","JJ Redick","1610612753","Orlando Magic","4","1","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-184","66","1","1","20070105","ORL","CHA"
"Shot Chart Detail","0020600481","514","200755","JJ Redick","1610612753","Orlando Magic","4","0","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-99","183","1","1","20070105","ORL","CHA"
"Shot Chart Detail","0020600597","147","200755","JJ Redick","1610612753","Orlando Magic","2","8","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-148","222","1","1","20070120","NJN","ORL"
"Shot Chart Detail","0020600597","200","200755","JJ Redick","1610612753","Orlando Magic","2","2","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-151","197","1","1","20070120","NJN","ORL"
"Shot Chart Detail","0020600597","348","200755","JJ Redick","1610612753","Orlando Magic","4","10","58","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070120","NJN","ORL"
"Shot Chart Detail","0020600597","414","200755","JJ Redick","1610612753","Orlando Magic","4","3","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","199","-6","1","0","20070120","NJN","ORL"
"Shot Chart Detail","0020600597","441","200755","JJ Redick","1610612753","Orlando Magic","4","1","26","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","227","0","1","1","20070120","NJN","ORL"
"Shot Chart Detail","0020600597","477","200755","JJ Redick","1610612753","Orlando Magic","4","0","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","90","240","1","0","20070120","NJN","ORL"
"Shot Chart Detail","0020600636","324","200755","JJ Redick","1610612753","Orlando Magic","4","9","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","141","224","1","0","20070126","ORL","ATL"
"Shot Chart Detail","0020600661","397","200755","JJ Redick","1610612753","Orlando Magic","4","6","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","179","181","1","0","20070129","ATL","ORL"
"Shot Chart Detail","0020600661","461","200755","JJ Redick","1610612753","Orlando Magic","4","1","25","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","163","122","1","1","20070129","ATL","ORL"
"Shot Chart Detail","0020600661","472","200755","JJ Redick","1610612753","Orlando Magic","4","0","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","140","232","1","0","20070129","ATL","ORL"
"Shot Chart Detail","0020600661","484","200755","JJ Redick","1610612753","Orlando Magic","4","0","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070129","ATL","ORL"
"Shot Chart Detail","0020600677","481","200755","JJ Redick","1610612753","Orlando Magic","4","0","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","56","258","1","0","20070131","ORL","MIL"
"Shot Chart Detail","0020600690","139","200755","JJ Redick","1610612753","Orlando Magic","2","7","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-135","79","1","0","20070202","ORL","NJN"
"Shot Chart Detail","0020600690","311","200755","JJ Redick","1610612753","Orlando Magic","3","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-146","112","1","0","20070202","ORL","NJN"
"Shot Chart Detail","0020600690","320","200755","JJ Redick","1610612753","Orlando Magic","3","2","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-143","84","1","1","20070202","ORL","NJN"
"Shot Chart Detail","0020600690","327","200755","JJ Redick","1610612753","Orlando Magic","3","1","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-136","51","1","0","20070202","ORL","NJN"
"Shot Chart Detail","0020600690","386","200755","JJ Redick","1610612753","Orlando Magic","4","6","51","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","240","-8","1","1","20070202","ORL","NJN"
"Shot Chart Detail","0020600690","428","200755","JJ Redick","1610612753","Orlando Magic","4","1","49","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-126","232","1","1","20070202","ORL","NJN"
"Shot Chart Detail","0020600701","92","200755","JJ Redick","1610612753","Orlando Magic","1","1","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-199","148","1","0","20070203","ORL","NYK"
"Shot Chart Detail","0020600701","125","200755","JJ Redick","1610612753","Orlando Magic","2","10","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","171","169","1","0","20070203","ORL","NYK"
