"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400637","335","203210","JaMychal Green","1610612759","San Antonio Spurs","3","1","52","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","1","1","1","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","362","203210","JaMychal Green","1610612759","San Antonio Spurs","4","11","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","99","173","1","0","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","371","203210","JaMychal Green","1610612759","San Antonio Spurs","4","10","32","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","4","1","1","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","374","203210","JaMychal Green","1610612759","San Antonio Spurs","4","9","58","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","11","1","0","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","433","203210","JaMychal Green","1610612759","San Antonio Spurs","4","4","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","65","239","1","0","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","492","203210","JaMychal Green","1610612759","San Antonio Spurs","4","1","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","7","1","1","20150122","CHI","SAS"
"Shot Chart Detail","0021400637","500","203210","JaMychal Green","1610612759","San Antonio Spurs","4","0","22","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","11","1","1","20150122","CHI","SAS"
"Shot Chart Detail","0021400754","145","203210","JaMychal Green","1610612763","Memphis Grizzlies","2","9","1","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-18","0","1","1","20150206","MIN","MEM"
"Shot Chart Detail","0021400754","156","203210","JaMychal Green","1610612763","Memphis Grizzlies","2","7","58","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-41","52","1","1","20150206","MIN","MEM"
"Shot Chart Detail","0021400754","192","203210","JaMychal Green","1610612763","Memphis Grizzlies","2","4","5","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20150206","MIN","MEM"
