"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400004","4","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","11","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-98","165","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","25","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","8","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","4","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","45","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","6","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","7","1","1","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","107","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","1","29","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-84","175","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","286","203953","Jabari Parker","1610612749","Milwaukee Bucks","3","10","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","47","167","1","1","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","307","203953","Jabari Parker","1610612749","Milwaukee Bucks","3","8","18","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","349","203953","Jabari Parker","1610612749","Milwaukee Bucks","3","4","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-35","154","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","515","203953","Jabari Parker","1610612749","Milwaukee Bucks","4","0","55","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-19","67","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400004","603","203953","Jabari Parker","1610612749","Milwaukee Bucks","5","0","29","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-2","71","1","0","20141029","CHA","MIL"
"Shot Chart Detail","0021400023","6","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","11","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-10","257","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","62","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","6","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","29","-131","263","1","0","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","81","203953","Jabari Parker","1610612749","Milwaukee Bucks","1","4","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","11","1","1","20141031","MIL","PHI"
