"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020100003","207","2224","Jamaal Tinsley","1610612754","Indiana Pacers","2","2","29","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011030","NJN","IND"
"Shot Chart Detail","0020100003","282","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","8","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","85","213","1","0","20011030","NJN","IND"
"Shot Chart Detail","0020100003","389","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","10","19","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011030","NJN","IND"
"Shot Chart Detail","0020100003","437","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","6","14","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-27","76","1","0","20011030","NJN","IND"
"Shot Chart Detail","0020100003","513","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","0","3","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011030","NJN","IND"
"Shot Chart Detail","0020100016","8","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","10","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","24","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","9","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","193","7","1","1","20011031","CHI","IND"
"Shot Chart Detail","0020100016","30","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","7","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","148","156","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","68","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","4","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","163","156","1","1","20011031","CHI","IND"
"Shot Chart Detail","0020100016","237","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","11","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","214","146","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","240","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","10","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","155","118","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","257","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","8","9","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-31","68","1","1","20011031","CHI","IND"
"Shot Chart Detail","0020100016","268","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","7","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","282","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","5","54","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011031","CHI","IND"
"Shot Chart Detail","0020100016","289","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","4","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","113","156","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","340","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-124","131","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100016","371","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","9","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011031","CHI","IND"
"Shot Chart Detail","0020100016","424","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","4","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011031","CHI","IND"
"Shot Chart Detail","0020100027","2","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","11","42","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","-16","224","1","1","20011102","IND","ORL"
"Shot Chart Detail","0020100027","57","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","5","26","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","3","264","1","1","20011102","IND","ORL"
"Shot Chart Detail","0020100027","219","2224","Jamaal Tinsley","1610612754","Indiana Pacers","2","3","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","146","169","1","1","20011102","IND","ORL"
"Shot Chart Detail","0020100027","452","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","1","47","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","32","203","1","1","20011102","IND","ORL"
"Shot Chart Detail","0020100046","3","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","11","41","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","167","7","1","0","20011104","TOR","IND"
"Shot Chart Detail","0020100046","96","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","3","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20011104","TOR","IND"
"Shot Chart Detail","0020100046","246","2224","Jamaal Tinsley","1610612754","Indiana Pacers","2","0","34","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011104","TOR","IND"
"Shot Chart Detail","0020100046","357","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","4","59","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","64","243","1","1","20011104","TOR","IND"
"Shot Chart Detail","0020100046","497","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","5","17","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011104","TOR","IND"
"Shot Chart Detail","0020100046","521","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","3","1","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011104","TOR","IND"
"Shot Chart Detail","0020100046","535","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","1","55","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","85","19","1","1","20011104","TOR","IND"
"Shot Chart Detail","0020100046","558","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","1","9","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","-8","1","0","20011104","TOR","IND"
"Shot Chart Detail","0020100054","54","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","4","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-151","97","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","266","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","6","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","167","175","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","294","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","3","8","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","319","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","0","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","0","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","342","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","10","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","153","209","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","353","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","9","43","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","367","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","8","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","119","68","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100054","369","2224","Jamaal Tinsley","1610612754","Indiana Pacers","4","8","8","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011106","PHI","IND"
"Shot Chart Detail","0020100066","6","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","11","24","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-1","4","1","1","20011107","IND","SAC"
"Shot Chart Detail","0020100066","28","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","8","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-168","-19","1","1","20011107","IND","SAC"
"Shot Chart Detail","0020100066","64","2224","Jamaal Tinsley","1610612754","Indiana Pacers","1","4","59","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","62","19","1","0","20011107","IND","SAC"
"Shot Chart Detail","0020100066","178","2224","Jamaal Tinsley","1610612754","Indiana Pacers","2","2","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-1","207","1","1","20011107","IND","SAC"
"Shot Chart Detail","0020100066","246","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","9","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","9","1","0","20011107","IND","SAC"
"Shot Chart Detail","0020100066","262","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","8","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","142","110","1","0","20011107","IND","SAC"
"Shot Chart Detail","0020100066","295","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","6","48","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-37","59","1","1","20011107","IND","SAC"
"Shot Chart Detail","0020100066","309","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","5","4","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","62","150","1","1","20011107","IND","SAC"
"Shot Chart Detail","0020100066","352","2224","Jamaal Tinsley","1610612754","Indiana Pacers","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","169","200","1","0","20011107","IND","SAC"
