"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000020","7","1899","James Posey","1610612743","Denver Nuggets","1","11","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","199","198","1","1","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","231","1899","James Posey","1610612743","Denver Nuggets","2","5","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-168","209","1","0","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","317","1899","James Posey","1610612743","Denver Nuggets","3","9","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","220","118","1","0","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","327","1899","James Posey","1610612743","Denver Nuggets","3","8","18","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","13","1","1","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","360","1899","James Posey","1610612743","Denver Nuggets","3","5","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","191","192","1","1","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","443","1899","James Posey","1610612743","Denver Nuggets","4","7","59","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","58","68","1","0","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","485","1899","James Posey","1610612743","Denver Nuggets","4","4","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-153","219","1","0","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","530","1899","James Posey","1610612743","Denver Nuggets","4","1","33","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","16","19","1","1","20001101","SEA","DEN"
"Shot Chart Detail","0020000020","555","1899","James Posey","1610612743","Denver Nuggets","4","0","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","142","230","1","0","20001101","SEA","DEN"
"Shot Chart Detail","0020000025","33","1899","James Posey","1610612743","Denver Nuggets","1","9","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-168","93","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","44","1899","James Posey","1610612743","Denver Nuggets","1","8","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-147","0","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","204","1899","James Posey","1610612743","Denver Nuggets","2","5","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","169","72","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","247","1899","James Posey","1610612743","Denver Nuggets","2","1","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","248","1899","James Posey","1610612743","Denver Nuggets","2","1","55","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","305","1899","James Posey","1610612743","Denver Nuggets","3","9","18","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-240","0","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000025","324","1899","James Posey","1610612743","Denver Nuggets","3","7","7","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","-8","1","1","20001102","DEN","GSW"
"Shot Chart Detail","0020000043","19","1899","James Posey","1610612743","Denver Nuggets","1","9","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-170","177","1","1","20001104","DEN","PHX"
"Shot Chart Detail","0020000043","193","1899","James Posey","1610612743","Denver Nuggets","2","2","54","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","4","1","1","20001104","DEN","PHX"
"Shot Chart Detail","0020000043","195","1899","James Posey","1610612743","Denver Nuggets","2","2","31","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001104","DEN","PHX"
"Shot Chart Detail","0020000043","261","1899","James Posey","1610612743","Denver Nuggets","3","7","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","222","127","1","0","20001104","DEN","PHX"
"Shot Chart Detail","0020000043","309","1899","James Posey","1610612743","Denver Nuggets","3","3","32","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","DEN","PHX"
"Shot Chart Detail","0020000051","2","1899","James Posey","1610612743","Denver Nuggets","1","11","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","174","7","1","0","20001106","DEN","DAL"
"Shot Chart Detail","0020000051","36","1899","James Posey","1610612743","Denver Nuggets","1","7","42","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","113","57","1","1","20001106","DEN","DAL"
