"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100120","130","202686","Jan Vesely","1610612764","Washington Wizards","2","11","21","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","-6","1","1","20120108","WAS","MIN"
"Shot Chart Detail","0021100133","219","202686","Jan Vesely","1610612764","Washington Wizards","2","2","44","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","-19","1","1","20120110","WAS","TOR"
"Shot Chart Detail","0021100133","406","202686","Jan Vesely","1610612764","Washington Wizards","4","8","56","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20120110","WAS","TOR"
"Shot Chart Detail","0021100147","122","202686","Jan Vesely","1610612764","Washington Wizards","2","11","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","12","1","0","20120111","CHI","WAS"
"Shot Chart Detail","0021100160","182","202686","Jan Vesely","1610612764","Washington Wizards","2","6","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-71","-10","1","0","20120113","PHI","WAS"
"Shot Chart Detail","0021100160","470","202686","Jan Vesely","1610612764","Washington Wizards","4","2","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","122","115","1","0","20120113","PHI","WAS"
"Shot Chart Detail","0021100187","158","202686","Jan Vesely","1610612764","Washington Wizards","2","9","58","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","0","1","1","20120116","WAS","HOU"
"Shot Chart Detail","0021100187","257","202686","Jan Vesely","1610612764","Washington Wizards","2","1","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","3","1","1","20120116","WAS","HOU"
"Shot Chart Detail","0021100187","529","202686","Jan Vesely","1610612764","Washington Wizards","4","2","33","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","3","1","1","20120116","WAS","HOU"
"Shot Chart Detail","0021100187","554","202686","Jan Vesely","1610612764","Washington Wizards","4","0","45","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","0","1","0","20120116","WAS","HOU"
"Shot Chart Detail","0021100203","165","202686","Jan Vesely","1610612764","Washington Wizards","2","9","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","17","23","1","0","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","167","202686","Jan Vesely","1610612764","Washington Wizards","2","9","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","-11","1","0","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","218","202686","Jan Vesely","1610612764","Washington Wizards","2","5","41","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","11","1","1","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","255","202686","Jan Vesely","1610612764","Washington Wizards","2","1","56","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-2","1","1","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","458","202686","Jan Vesely","1610612764","Washington Wizards","4","9","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","-8","1","0","20120118","WAS","OKC"
"Shot Chart Detail","0021100203","470","202686","Jan Vesely","1610612764","Washington Wizards","4","8","58","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","-13","1","1","20120118","WAS","OKC"
