"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800005","189","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","11","18","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","14","1","1","20181017","IND","MEM"
"Shot Chart Detail","0021800005","199","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","9","50","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-38","46","1","0","20181017","IND","MEM"
"Shot Chart Detail","0021800005","425","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","4","35","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","7","1","1","20181017","IND","MEM"
"Shot Chart Detail","0021800005","512","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","10","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","27","-47","274","1","0","20181017","IND","MEM"
"Shot Chart Detail","0021800005","599","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","4","0","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-49","7","1","0","20181017","IND","MEM"
"Shot Chart Detail","0021800005","659","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","0","23","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","4","57","1","0","20181017","IND","MEM"
"Shot Chart Detail","0021800020","109","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","4","56","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-9","9","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","148","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","3","3","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","8","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","193","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","1","1","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","7","98","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","223","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","11","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-22","21","1","0","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","371","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","1","23","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","-1","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","377","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","0","51","Made Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-35","32","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","522","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","5","33","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","2","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","572","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","2","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","-1","1","0","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","611","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","0","18","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","-1","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","697","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","6","22","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-174","179","1","1","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","766","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","1","53","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","-3","1","0","20181019","MEM","ATL"
"Shot Chart Detail","0021800020","772","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","1","25","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-19","39","1","0","20181019","MEM","ATL"
"Shot Chart Detail","0021800045","13","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","10","55","Made Shot","Hook Bank Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","6","1","1","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","22","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","10","3","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-55","48","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","43","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","7","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","39","247","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","48","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","7","11","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","-2","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","168","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","11","8","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","16","6","1","1","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","180","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","10","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","67","246","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","193","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","9","8","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-2","42","1","1","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","219","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","2","7","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","11","243","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","347","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","11","0","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","14","11","1","1","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","388","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","6","43","Made Shot","Tip Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","390","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","3","6","2","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-23","54","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800045","501","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","4","11","11","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-27","32","1","0","20181022","UTA","MEM"
"Shot Chart Detail","0021800061","27","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","9","54","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-56","73","1","1","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","47","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","8","5","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","7","1","1","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","52","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","7","41","Missed Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","12","1","0","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","59","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","7","17","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","10","1","0","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","66","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","6","39","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","183","193","1","0","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","76","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","5","40","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","15","71","1","1","20181024","SAC","MEM"
"Shot Chart Detail","0021800061","89","1628991","Jaren Jackson Jr.","1610612763","Memphis Grizzlies","1","5","9","Made Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-14","43","1","1","20181024","SAC","MEM"
