"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000071","18","1715","Jason Williams","1610612758","Sacramento Kings","1","10","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-88","207","1","0","20001108","SAC","GSW"
"Shot Chart Detail","0020000071","118","1715","Jason Williams","1610612758","Sacramento Kings","1","0","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","157","76","1","0","20001108","SAC","GSW"
"Shot Chart Detail","0020000071","252","1715","Jason Williams","1610612758","Sacramento Kings","2","0","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-103","190","1","0","20001108","SAC","GSW"
"Shot Chart Detail","0020000071","275","1715","Jason Williams","1610612758","Sacramento Kings","3","11","22","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001108","SAC","GSW"
"Shot Chart Detail","0020000071","304","1715","Jason Williams","1610612758","Sacramento Kings","3","7","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","148","200","1","0","20001108","SAC","GSW"
"Shot Chart Detail","0020000071","380","1715","Jason Williams","1610612758","Sacramento Kings","3","0","19","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-52","70","1","1","20001108","SAC","GSW"
"Shot Chart Detail","0020000085","7","1715","Jason Williams","1610612758","Sacramento Kings","1","10","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","159","-15","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","43","1715","Jason Williams","1610612758","Sacramento Kings","1","8","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","57","1715","Jason Williams","1610612758","Sacramento Kings","1","6","16","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","62","1715","Jason Williams","1610612758","Sacramento Kings","1","5","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-96","234","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","121","1715","Jason Williams","1610612758","Sacramento Kings","1","1","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","141","1715","Jason Williams","1610612758","Sacramento Kings","1","0","9","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","144","1715","Jason Williams","1610612758","Sacramento Kings","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","42","180","384","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","208","1715","Jason Williams","1610612758","Sacramento Kings","2","5","45","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","210","1715","Jason Williams","1610612758","Sacramento Kings","2","5","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-103","146","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","242","1715","Jason Williams","1610612758","Sacramento Kings","2","1","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","20","203","-11","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","245","1715","Jason Williams","1610612758","Sacramento Kings","2","1","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","87","228","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","250","1715","Jason Williams","1610612758","Sacramento Kings","2","0","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","129","150","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","282","1715","Jason Williams","1610612758","Sacramento Kings","3","9","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","287","1715","Jason Williams","1610612758","Sacramento Kings","3","8","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-31","11","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","331","1715","Jason Williams","1610612758","Sacramento Kings","3","4","5","Made Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-25","17","1","1","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","383","1715","Jason Williams","1610612758","Sacramento Kings","3","0","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-52","190","1","0","20001110","GSW","SAC"
"Shot Chart Detail","0020000085","386","1715","Jason Williams","1610612758","Sacramento Kings","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","43","-195","390","1","0","20001110","GSW","SAC"
