"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900411","374","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","1","14","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091222","DAL","POR"
"Shot Chart Detail","0020900420","180","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","6","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-82","19","1","0","20091223","SAS","POR"
"Shot Chart Detail","0020900420","355","201965","Jeff Ayres","1610612757","Portland Trail Blazers","4","10","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","97","9","1","1","20091223","SAS","POR"
"Shot Chart Detail","0020900428","73","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","1","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091225","POR","DEN"
"Shot Chart Detail","0020900449","109","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","10","56","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091228","POR","PHI"
"Shot Chart Detail","0020900449","116","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","10","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091228","POR","PHI"
"Shot Chart Detail","0020900449","121","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","9","18","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-109","164","1","1","20091228","POR","PHI"
"Shot Chart Detail","0020900449","150","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","7","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091228","POR","PHI"
"Shot Chart Detail","0020900449","264","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","5","54","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091228","POR","PHI"
"Shot Chart Detail","0020900467","100","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","0","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091230","POR","LAC"
"Shot Chart Detail","0020900467","127","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","10","31","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091230","POR","LAC"
"Shot Chart Detail","0020900467","172","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","5","41","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091230","POR","LAC"
"Shot Chart Detail","0020900467","257","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","11","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-86","0","1","0","20091230","POR","LAC"
"Shot Chart Detail","0020900467","277","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","9","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091230","POR","LAC"
"Shot Chart Detail","0020900467","279","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","9","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091230","POR","LAC"
"Shot Chart Detail","0020900467","348","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","2","23","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","6","47","1","0","20091230","POR","LAC"
"Shot Chart Detail","0020900467","350","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","2","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091230","POR","LAC"
"Shot Chart Detail","0020900497","99","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","1","7","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100104","LAC","POR"
"Shot Chart Detail","0020900497","241","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","9","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-131","4","1","1","20100104","LAC","POR"
"Shot Chart Detail","0020900497","431","201965","Jeff Ayres","1610612757","Portland Trail Blazers","4","1","42","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100104","LAC","POR"
"Shot Chart Detail","0020900497","435","201965","Jeff Ayres","1610612757","Portland Trail Blazers","4","1","11","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100104","LAC","POR"
"Shot Chart Detail","0020900504","91","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","1","0","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","1","149","1","1","20100105","POR","MEM"
"Shot Chart Detail","0020900504","128","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","8","33","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20100105","POR","MEM"
"Shot Chart Detail","0020900504","316","201965","Jeff Ayres","1610612757","Portland Trail Blazers","3","2","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20100105","POR","MEM"
"Shot Chart Detail","0020900504","366","201965","Jeff Ayres","1610612757","Portland Trail Blazers","4","10","15","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100105","POR","MEM"
"Shot Chart Detail","0020900542","80","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","2","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100110","POR","CLE"
"Shot Chart Detail","0020900567","89","201965","Jeff Ayres","1610612757","Portland Trail Blazers","1","0","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20100113","POR","MIL"
"Shot Chart Detail","0020900567","117","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","9","18","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","114","15","1","1","20100113","POR","MIL"
"Shot Chart Detail","0020900567","162","201965","Jeff Ayres","1610612757","Portland Trail Blazers","2","6","58","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20100113","POR","MIL"
