"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000009","336","1902","Jeff Foster","1610612754","Indiana Pacers","3","0","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-147","23","1","0","20001031","SAS","IND"
"Shot Chart Detail","0020000080","393","1902","Jeff Foster","1610612754","Indiana Pacers","4","7","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-172","9","1","0","20001110","WAS","IND"
"Shot Chart Detail","0020000090","192","1902","Jeff Foster","1610612754","Indiana Pacers","2","4","35","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-10","36","1","0","20001111","IND","DET"
"Shot Chart Detail","0020000114","309","1902","Jeff Foster","1610612754","Indiana Pacers","3","7","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001115","DET","IND"
"Shot Chart Detail","0020000114","325","1902","Jeff Foster","1610612754","Indiana Pacers","3","5","32","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-82","129","1","1","20001115","DET","IND"
"Shot Chart Detail","0020000114","331","1902","Jeff Foster","1610612754","Indiana Pacers","3","4","54","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","193","7","1","1","20001115","DET","IND"
"Shot Chart Detail","0020000114","355","1902","Jeff Foster","1610612754","Indiana Pacers","3","1","50","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001115","DET","IND"
"Shot Chart Detail","0020000114","373","1902","Jeff Foster","1610612754","Indiana Pacers","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","34","214","276","1","0","20001115","DET","IND"
"Shot Chart Detail","0020000114","385","1902","Jeff Foster","1610612754","Indiana Pacers","4","11","5","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001115","DET","IND"
"Shot Chart Detail","0020000114","394","1902","Jeff Foster","1610612754","Indiana Pacers","4","10","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","169","59","1","0","20001115","DET","IND"
