"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300110","231","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","1","47","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","15","14","1","1","20131112","LAL","NOP"
"Shot Chart Detail","0021300110","338","203481","Jeff Withey","1610612740","New Orleans Pelicans","3","5","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","12","1","1","20131112","LAL","NOP"
"Shot Chart Detail","0021300119","226","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","2","56","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","20","23","1","1","20131113","UTA","NOP"
"Shot Chart Detail","0021300119","263","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","0","0","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","1","1","0","20131113","UTA","NOP"
"Shot Chart Detail","0021300208","266","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","0","3","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","1","1","1","20131125","SAS","NOP"
"Shot Chart Detail","0021300257","117","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","11","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-93","-10","1","0","20131202","CHI","NOP"
"Shot Chart Detail","0021300257","127","203481","Jeff Withey","1610612740","New Orleans Pelicans","2","10","22","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","7","1","1","20131202","CHI","NOP"
"Shot Chart Detail","0021300286","77","203481","Jeff Withey","1610612740","New Orleans Pelicans","1","2","56","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","13","23","1","0","20131206","NOP","OKC"
"Shot Chart Detail","0021300368","492","203481","Jeff Withey","1610612740","New Orleans Pelicans","4","6","2","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","3","1","1","20131217","GSW","NOP"
"Shot Chart Detail","0021300470","544","203481","Jeff Withey","1610612740","New Orleans Pelicans","4","0","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","130","75","1","1","20140101","MIN","NOP"
