"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100013","152","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","9","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-144","102","1","1","20111226","SAS","MEM"
"Shot Chart Detail","0021100013","376","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","3","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","129","151","1","0","20111226","SAS","MEM"
"Shot Chart Detail","0021100013","383","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","2","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","21","254","1","1","20111226","SAS","MEM"
"Shot Chart Detail","0021100013","390","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","1","45","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","36","0","1","0","20111226","SAS","MEM"
"Shot Chart Detail","0021100013","397","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","1","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","176","192","1","0","20111226","SAS","MEM"
"Shot Chart Detail","0021100013","408","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","28","196","209","1","0","20111226","SAS","MEM"
"Shot Chart Detail","0021100027","221","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","6","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-65","195","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","246","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","5","27","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","9","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","252","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","4","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-59","255","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","271","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","3","11","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","4","118","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","273","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","2","45","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","9","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","315","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","11","39","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","9","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","323","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","9","47","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-49","20","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","350","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","7","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","141","217","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","397","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","2","9","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","11","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","398","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","2","8","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","7","1","1","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","507","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","4","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","114","227","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","534","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","3","12","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-46","72","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100027","536","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","2","56","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","124","124","1","0","20111228","MEM","OKC"
"Shot Chart Detail","0021100043","31","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","1","7","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-108","235","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","156","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","2","9","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","113","157","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","279","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","9","58","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","32","85","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","315","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","7","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","122","178","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","359","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","3","3","56","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","6","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","427","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","8","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-153","208","1","0","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","444","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","7","13","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","1","1","1","20111230","MEM","HOU"
"Shot Chart Detail","0021100043","452","202951","Jeremy Pargo","1610612763","Memphis Grizzlies","4","5","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","91","148","1","1","20111230","MEM","HOU"
