"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900118","467","201966","Jermaine Taylor","1610612745","Houston Rockets","4","3","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-8","151","1","0","20091111","HOU","MEM"
"Shot Chart Detail","0020900118","501","201966","Jermaine Taylor","1610612745","Houston Rockets","4","1","22","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-93","195","1","1","20091111","HOU","MEM"
"Shot Chart Detail","0020900118","508","201966","Jermaine Taylor","1610612745","Houston Rockets","4","0","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","187","1","1","0","20091111","HOU","MEM"
"Shot Chart Detail","0020900215","446","201966","Jermaine Taylor","1610612745","Houston Rockets","4","4","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","182","184","1","0","20091125","HOU","DAL"
"Shot Chart Detail","0020900215","491","201966","Jermaine Taylor","1610612745","Houston Rockets","4","0","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091125","HOU","DAL"
"Shot Chart Detail","0020900244","176","201966","Jermaine Taylor","1610612745","Houston Rockets","2","7","56","Made Shot","Floating Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-5","33","1","1","20091129","OKC","HOU"
"Shot Chart Detail","0020900244","197","201966","Jermaine Taylor","1610612745","Houston Rockets","2","5","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091129","OKC","HOU"
"Shot Chart Detail","0020900244","210","201966","Jermaine Taylor","1610612745","Houston Rockets","2","4","15","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-229","22","1","0","20091129","OKC","HOU"
"Shot Chart Detail","0020900339","515","201966","Jermaine Taylor","1610612745","Houston Rockets","4","0","36","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-202","-6","1","1","20091213","TOR","HOU"
"Shot Chart Detail","0020900339","518","201966","Jermaine Taylor","1610612745","Houston Rockets","4","0","6","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091213","TOR","HOU"
"Shot Chart Detail","0020900367","529","201966","Jermaine Taylor","1610612745","Houston Rockets","4","0","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091216","DEN","HOU"
"Shot Chart Detail","0020900412","139","201966","Jermaine Taylor","1610612745","Houston Rockets","2","11","39","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091222","HOU","LAC"
"Shot Chart Detail","0020900412","179","201966","Jermaine Taylor","1610612745","Houston Rockets","2","6","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091222","HOU","LAC"
"Shot Chart Detail","0020900412","406","201966","Jermaine Taylor","1610612745","Houston Rockets","4","9","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-190","148","1","0","20091222","HOU","LAC"
