"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800003","349","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","3","1","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","121","123","1","0","20081028","LAL","POR"
"Shot Chart Detail","0020800003","387","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","10","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","108","176","1","0","20081028","LAL","POR"
"Shot Chart Detail","0020800003","407","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","8","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081028","LAL","POR"
"Shot Chart Detail","0020800003","432","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","5","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-217","11","1","0","20081028","LAL","POR"
"Shot Chart Detail","0020800003","450","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","4","4","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-26","1","1","1","20081028","LAL","POR"
"Shot Chart Detail","0020800039","412","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","3","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","184","187","1","0","20081101","PHX","POR"
"Shot Chart Detail","0020800168","526","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","0","52","Missed Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081119","POR","CHI"
"Shot Chart Detail","0020800181","425","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","2","32","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","69","26","1","1","20081121","SAC","POR"
"Shot Chart Detail","0020800181","442","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","1","19","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-84","42","1","0","20081121","SAC","POR"
"Shot Chart Detail","0020800181","446","201573","Jerryd Bayless","1610612757","Portland Trail Blazers","4","0","54","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081121","SAC","POR"
