"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500153","387","1626202","Joe Young","1610612754","Indiana Pacers","3","2","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","30","174","1","1","20151116","CHI","IND"
"Shot Chart Detail","0021500153","440","1626202","Joe Young","1610612754","Indiana Pacers","4","11","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-31","1","0","20151116","CHI","IND"
"Shot Chart Detail","0021500167","126","1626202","Joe Young","1610612754","Indiana Pacers","2","11","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-6","254","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","150","1626202","Joe Young","1610612754","Indiana Pacers","2","9","20","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","48","28","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","366","1626202","Joe Young","1610612754","Indiana Pacers","3","1","16","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","24","26","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","429","1626202","Joe Young","1610612754","Indiana Pacers","4","8","10","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-56","65","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","469","1626202","Joe Young","1610612754","Indiana Pacers","4","4","53","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","16","1","1","20151118","PHI","IND"
"Shot Chart Detail","0021500167","498","1626202","Joe Young","1610612754","Indiana Pacers","4","2","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-1","41","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","514","1626202","Joe Young","1610612754","Indiana Pacers","4","1","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-122","154","1","0","20151118","PHI","IND"
"Shot Chart Detail","0021500167","522","1626202","Joe Young","1610612754","Indiana Pacers","4","0","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-27","267","1","0","20151118","PHI","IND"
