"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020500015","13","101130","Johan Petro","1610612760","Seattle SuperSonics","1","10","41","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051102","SEA","LAC"
"Shot Chart Detail","0020500015","31","101130","Johan Petro","1610612760","Seattle SuperSonics","1","8","8","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","15","1","1","20051102","SEA","LAC"
"Shot Chart Detail","0020500015","252","101130","Johan Petro","1610612760","Seattle SuperSonics","3","9","56","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","44","20","1","1","20051102","SEA","LAC"
"Shot Chart Detail","0020500015","276","101130","Johan Petro","1610612760","Seattle SuperSonics","3","7","10","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","0","66","1","0","20051102","SEA","LAC"
"Shot Chart Detail","0020500015","288","101130","Johan Petro","1610612760","Seattle SuperSonics","3","5","59","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051102","SEA","LAC"
"Shot Chart Detail","0020500030","4","101130","Johan Petro","1610612760","Seattle SuperSonics","1","11","48","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-34","36","1","1","20051104","SEA","MIN"
"Shot Chart Detail","0020500030","32","101130","Johan Petro","1610612760","Seattle SuperSonics","1","8","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-33","31","1","0","20051104","SEA","MIN"
"Shot Chart Detail","0020500030","79","101130","Johan Petro","1610612760","Seattle SuperSonics","1","2","2","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-16","31","1","0","20051104","SEA","MIN"
"Shot Chart Detail","0020500053","269","101130","Johan Petro","1610612760","Seattle SuperSonics","3","9","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-89","15","1","0","20051108","MEM","SEA"
"Shot Chart Detail","0020500058","307","101130","Johan Petro","1610612760","Seattle SuperSonics","3","6","28","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-105","38","1","1","20051109","CLE","SEA"
"Shot Chart Detail","0020500089","32","101130","Johan Petro","1610612760","Seattle SuperSonics","1","8","31","Missed Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-43","54","1","0","20051113","TOR","SEA"
"Shot Chart Detail","0020500089","55","101130","Johan Petro","1610612760","Seattle SuperSonics","1","5","43","Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","72","22","1","0","20051113","TOR","SEA"
"Shot Chart Detail","0020500089","79","101130","Johan Petro","1610612760","Seattle SuperSonics","1","3","46","Missed Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051113","TOR","SEA"
"Shot Chart Detail","0020500089","282","101130","Johan Petro","1610612760","Seattle SuperSonics","3","8","1","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051113","TOR","SEA"
"Shot Chart Detail","0020500089","299","101130","Johan Petro","1610612760","Seattle SuperSonics","3","6","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051113","TOR","SEA"
"Shot Chart Detail","0020500089","301","101130","Johan Petro","1610612760","Seattle SuperSonics","3","6","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20051113","TOR","SEA"
"Shot Chart Detail","0020500101","13","101130","Johan Petro","1610612760","Seattle SuperSonics","1","10","21","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","47","49","1","1","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","17","101130","Johan Petro","1610612760","Seattle SuperSonics","1","9","39","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-59","3","1","0","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","41","101130","Johan Petro","1610612760","Seattle SuperSonics","1","7","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","110","28","1","0","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","164","101130","Johan Petro","1610612760","Seattle SuperSonics","2","6","37","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-61","36","1","0","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","238","101130","Johan Petro","1610612760","Seattle SuperSonics","3","11","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","16","0","160","1","0","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","253","101130","Johan Petro","1610612760","Seattle SuperSonics","3","10","7","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051115","NJN","SEA"
"Shot Chart Detail","0020500101","428","101130","Johan Petro","1610612760","Seattle SuperSonics","4","4","2","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-48","36","1","1","20051115","NJN","SEA"
"Shot Chart Detail","0020500110","11","101130","Johan Petro","1610612760","Seattle SuperSonics","1","10","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","0","146","1","0","20051116","BOS","SEA"
"Shot Chart Detail","0020500110","224","101130","Johan Petro","1610612760","Seattle SuperSonics","3","11","3","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","2","1","1","20051116","BOS","SEA"
"Shot Chart Detail","0020500110","269","101130","Johan Petro","1610612760","Seattle SuperSonics","3","6","1","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","5","1","0","20051116","BOS","SEA"
