"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900012","185","201972","Jon Brockman","1610612758","Sacramento Kings","2","5","48","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","4","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900012","189","201972","Jon Brockman","1610612758","Sacramento Kings","2","5","18","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091028","OKC","SAC"
"Shot Chart Detail","0020900028","112","201972","Jon Brockman","1610612758","Sacramento Kings","1","0","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","121","201972","Jon Brockman","1610612758","Sacramento Kings","1","0","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","248","201972","Jon Brockman","1610612758","Sacramento Kings","2","1","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","NOH","SAC"
"Shot Chart Detail","0020900028","439","201972","Jon Brockman","1610612758","Sacramento Kings","4","8","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-4","61","1","0","20091030","NOH","SAC"
"Shot Chart Detail","0020900037","109","201972","Jon Brockman","1610612758","Sacramento Kings","1","1","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","4","1","1","20091031","SAS","SAC"
"Shot Chart Detail","0020900037","417","201972","Jon Brockman","1610612758","Sacramento Kings","4","10","37","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091031","SAS","SAC"
"Shot Chart Detail","0020900049","78","201972","Jon Brockman","1610612758","Sacramento Kings","1","3","48","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091102","SAC","MEM"
"Shot Chart Detail","0020900068","323","201972","Jon Brockman","1610612758","Sacramento Kings","3","5","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-139","11","1","0","20091104","SAC","ATL"
