"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900054","50","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","6","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091103","DET","ORL"
"Shot Chart Detail","0020900054","84","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","2","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091103","DET","ORL"
"Shot Chart Detail","0020900054","243","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","10","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091103","DET","ORL"
"Shot Chart Detail","0020900054","252","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","9","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","21","261","1","0","20091103","DET","ORL"
"Shot Chart Detail","0020900054","355","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","0","57","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-239","14","1","0","20091103","DET","ORL"
"Shot Chart Detail","0020900061","70","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","4","39","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091104","TOR","DET"
"Shot Chart Detail","0020900061","276","201973","Jonas Jerebko","1610612765","Detroit Pistons","2","0","32","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","7","1","1","20091104","TOR","DET"
"Shot Chart Detail","0020900061","303","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","10","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091104","TOR","DET"
"Shot Chart Detail","0020900074","50","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","6","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091106","ORL","DET"
"Shot Chart Detail","0020900074","58","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","4","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091106","ORL","DET"
"Shot Chart Detail","0020900074","578","201973","Jonas Jerebko","1610612765","Detroit Pistons","4","0","5","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091106","ORL","DET"
"Shot Chart Detail","0020900092","23","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","7","58","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","47","56","1","0","20091108","DET","PHI"
"Shot Chart Detail","0020900092","28","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","7","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-235","105","1","0","20091108","DET","PHI"
"Shot Chart Detail","0020900092","50","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","5","38","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091108","DET","PHI"
"Shot Chart Detail","0020900092","89","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","1","28","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091108","DET","PHI"
"Shot Chart Detail","0020900092","223","201973","Jonas Jerebko","1610612765","Detroit Pistons","2","0","19","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091108","DET","PHI"
"Shot Chart Detail","0020900092","259","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","9","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091108","DET","PHI"
"Shot Chart Detail","0020900092","267","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","8","16","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","51","44","1","0","20091108","DET","PHI"
"Shot Chart Detail","0020900092","272","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","7","36","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091108","DET","PHI"
"Shot Chart Detail","0020900092","284","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","6","23","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","19","1","0","20091108","DET","PHI"
"Shot Chart Detail","0020900092","303","201973","Jonas Jerebko","1610612765","Detroit Pistons","3","4","52","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091108","DET","PHI"
"Shot Chart Detail","0020900112","20","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","10","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","181","183","1","0","20091111","DET","CHA"
"Shot Chart Detail","0020900112","29","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","8","27","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091111","DET","CHA"
"Shot Chart Detail","0020900112","31","201973","Jonas Jerebko","1610612765","Detroit Pistons","1","7","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","215","129","1","1","20091111","DET","CHA"
