"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300938","439","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","3","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","102","148","1","0","20140309","BKN","SAC"
"Shot Chart Detail","0021300998","507","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","1","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","81","146","1","0","20140317","BKN","PHX"
"Shot Chart Detail","0021301026","170","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","2","6","32","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","53","170","1","1","20140321","BKN","BOS"
"Shot Chart Detail","0021301026","365","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","11","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","17","47","1","0","20140321","BKN","BOS"
"Shot Chart Detail","0021301026","367","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","11","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","23","3","1","1","20140321","BKN","BOS"
"Shot Chart Detail","0021301026","383","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","8","40","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","6","1","1","20140321","BKN","BOS"
"Shot Chart Detail","0021301026","454","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","2","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","89","156","1","1","20140321","BKN","BOS"
"Shot Chart Detail","0021301026","467","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","1","13","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","7","1","1","20140321","BKN","BOS"
"Shot Chart Detail","0021301052","219","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","2","5","20","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","11","1","0","20140324","NOP","BKN"
"Shot Chart Detail","0021301052","267","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","2","1","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","152","201","1","0","20140324","NOP","BKN"
"Shot Chart Detail","0021301061","318","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","3","4","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","3","1","1","20140326","CHA","BKN"
"Shot Chart Detail","0021301061","343","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","3","1","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-120","131","1","1","20140326","CHA","BKN"
"Shot Chart Detail","0021301061","390","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","7","19","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","110","146","1","1","20140326","CHA","BKN"
"Shot Chart Detail","0021301078","181","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","2","4","10","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-71","66","1","0","20140328","BKN","CLE"
"Shot Chart Detail","0021301095","451","203268","Jorge Gutierrez","1610612751","Brooklyn Nets","4","6","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","3","1","0","20140330","BKN","MIN"
