"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020400013","181","2735","Josh Childress","1610612737","Atlanta Hawks","2","5","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-158","97","1","0","20041103","PHX","ATL"
"Shot Chart Detail","0020400013","430","2735","Josh Childress","1610612737","Atlanta Hawks","4","9","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","94","59","1","0","20041103","PHX","ATL"
"Shot Chart Detail","0020400013","444","2735","Josh Childress","1610612737","Atlanta Hawks","4","8","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","163","40","1","0","20041103","PHX","ATL"
"Shot Chart Detail","0020400013","495","2735","Josh Childress","1610612737","Atlanta Hawks","4","4","38","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041103","PHX","ATL"
"Shot Chart Detail","0020400013","499","2735","Josh Childress","1610612737","Atlanta Hawks","4","4","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041103","PHX","ATL"
"Shot Chart Detail","0020400013","547","2735","Josh Childress","1610612737","Atlanta Hawks","4","1","17","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041103","PHX","ATL"
"Shot Chart Detail","0020400044","48","2735","Josh Childress","1610612737","Atlanta Hawks","1","6","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","131","92","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","103","2735","Josh Childress","1610612737","Atlanta Hawks","1","0","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-210","-8","1","1","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","109","2735","Josh Childress","1610612737","Atlanta Hawks","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-154","210","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","142","2735","Josh Childress","1610612737","Atlanta Hawks","2","8","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-108","84","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","382","2735","Josh Childress","1610612737","Atlanta Hawks","4","6","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","233","91","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","411","2735","Josh Childress","1610612737","Atlanta Hawks","4","4","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","415","2735","Josh Childress","1610612737","Atlanta Hawks","4","3","45","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","38","69","1","1","20041107","LAL","ATL"
"Shot Chart Detail","0020400044","430","2735","Josh Childress","1610612737","Atlanta Hawks","4","2","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-126","225","1","0","20041107","LAL","ATL"
"Shot Chart Detail","0020400083","97","2735","Josh Childress","1610612737","Atlanta Hawks","1","1","47","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041113","ATL","SAS"
"Shot Chart Detail","0020400083","319","2735","Josh Childress","1610612737","Atlanta Hawks","3","6","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-57","7","1","0","20041113","ATL","SAS"
"Shot Chart Detail","0020400083","339","2735","Josh Childress","1610612737","Atlanta Hawks","3","4","4","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041113","ATL","SAS"
"Shot Chart Detail","0020400083","349","2735","Josh Childress","1610612737","Atlanta Hawks","3","3","39","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041113","ATL","SAS"
"Shot Chart Detail","0020400083","353","2735","Josh Childress","1610612737","Atlanta Hawks","3","3","15","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041113","ATL","SAS"
"Shot Chart Detail","0020400100","127","2735","Josh Childress","1610612737","Atlanta Hawks","2","10","2","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041116","ATL","HOU"
"Shot Chart Detail","0020400100","141","2735","Josh Childress","1610612737","Atlanta Hawks","2","8","9","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041116","ATL","HOU"
"Shot Chart Detail","0020400100","154","2735","Josh Childress","1610612737","Atlanta Hawks","2","6","19","Made Shot","Follow Up Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041116","ATL","HOU"
"Shot Chart Detail","0020400100","297","2735","Josh Childress","1610612737","Atlanta Hawks","3","2","27","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041116","ATL","HOU"
"Shot Chart Detail","0020400100","348","2735","Josh Childress","1610612737","Atlanta Hawks","4","10","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-23","143","1","1","20041116","ATL","HOU"
