"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020300932","111","2668","Josh Davis","1610612737","Atlanta Hawks","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","136","-23","1","0","20040310","MIL","ATL"
"Shot Chart Detail","0020300932","142","2668","Josh Davis","1610612737","Atlanta Hawks","2","9","13","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-141","209","1","0","20040310","MIL","ATL"
"Shot Chart Detail","0020300980","15","2668","Josh Davis","1610612737","Atlanta Hawks","1","10","32","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20040317","DAL","ATL"
"Shot Chart Detail","0020300980","41","2668","Josh Davis","1610612737","Atlanta Hawks","1","7","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","36","243","1","0","20040317","DAL","ATL"
"Shot Chart Detail","0020300980","336","2668","Josh Davis","1610612737","Atlanta Hawks","3","0","25","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20040317","DAL","ATL"
"Shot Chart Detail","0020400021","495","2668","Josh Davis","1610612755","Philadelphia 76ers","4","1","41","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-197","168","1","0","20041105","PHI","PHX"
"Shot Chart Detail","0020400021","506","2668","Josh Davis","1610612755","Philadelphia 76ers","4","0","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-3","261","1","1","20041105","PHI","PHX"
"Shot Chart Detail","0020400033","483","2668","Josh Davis","1610612755","Philadelphia 76ers","4","2","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041106","DET","PHI"
"Shot Chart Detail","0020400050","441","2668","Josh Davis","1610612755","Philadelphia 76ers","4","3","34","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","-26","1","1","20041109","NYK","PHI"
"Shot Chart Detail","0020400092","245","2668","Josh Davis","1610612755","Philadelphia 76ers","2","1","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-66","255","1","0","20041114","PHI","ORL"
"Shot Chart Detail","0020400092","380","2668","Josh Davis","1610612755","Philadelphia 76ers","4","11","41","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","22","-202","91","1","0","20041114","PHI","ORL"
"Shot Chart Detail","0020400092","504","2668","Josh Davis","1610612755","Philadelphia 76ers","4","0","42","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","1","56","1","0","20041114","PHI","ORL"
"Shot Chart Detail","0020400098","450","2668","Josh Davis","1610612755","Philadelphia 76ers","4","0","28","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-16","260","1","1","20041116","PHI","SEA"
"Shot Chart Detail","0020400139","463","2668","Josh Davis","1610612755","Philadelphia 76ers","4","1","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-228","72","1","0","20041121","MIA","PHI"
"Shot Chart Detail","0020400161","17","2668","Josh Davis","1610612755","Philadelphia 76ers","1","9","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","156","210","1","0","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","48","2668","Josh Davis","1610612755","Philadelphia 76ers","1","5","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","158","2668","Josh Davis","1610612755","Philadelphia 76ers","2","8","50","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","176","2668","Josh Davis","1610612755","Philadelphia 76ers","2","6","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-151","-11","1","0","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","179","2668","Josh Davis","1610612755","Philadelphia 76ers","2","6","35","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","243","2668","Josh Davis","1610612755","Philadelphia 76ers","3","11","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","271","2668","Josh Davis","1610612755","Philadelphia 76ers","3","7","59","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","151","201","1","1","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","290","2668","Josh Davis","1610612755","Philadelphia 76ers","3","6","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-15","263","1","1","20041124","PHI","BOS"
"Shot Chart Detail","0020400161","293","2668","Josh Davis","1610612755","Philadelphia 76ers","3","5","33","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-51","248","1","1","20041124","PHI","BOS"
