"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020300003","440","2572","Josh Howard","1610612742","Dallas Mavericks","4","4","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","108","141","1","0","20031028","LAL","DAL"
"Shot Chart Detail","0020300003","444","2572","Josh Howard","1610612742","Dallas Mavericks","4","4","19","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20031028","LAL","DAL"
"Shot Chart Detail","0020300003","464","2572","Josh Howard","1610612742","Dallas Mavericks","4","2","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","140","125","1","1","20031028","LAL","DAL"
"Shot Chart Detail","0020300003","467","2572","Josh Howard","1610612742","Dallas Mavericks","4","2","24","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","41","51","1","0","20031028","LAL","DAL"
"Shot Chart Detail","0020300003","474","2572","Josh Howard","1610612742","Dallas Mavericks","4","1","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-15","153","1","0","20031028","LAL","DAL"
"Shot Chart Detail","0020300013","108","2572","Josh Howard","1610612742","Dallas Mavericks","1","1","51","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-2","102","1","1","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","110","2572","Josh Howard","1610612742","Dallas Mavericks","1","1","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","20","1","0","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","141","2572","Josh Howard","1610612742","Dallas Mavericks","2","9","45","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-49","59","1","1","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","155","2572","Josh Howard","1610612742","Dallas Mavericks","2","8","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-62","257","1","0","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","164","2572","Josh Howard","1610612742","Dallas Mavericks","2","7","2","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-28","95","1","1","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","182","2572","Josh Howard","1610612742","Dallas Mavericks","2","4","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-133","7","1","0","20031029","GSW","DAL"
"Shot Chart Detail","0020300013","184","2572","Josh Howard","1610612742","Dallas Mavericks","2","4","53","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","28","53","1","0","20031029","GSW","DAL"
"Shot Chart Detail","0020300053","160","2572","Josh Howard","1610612742","Dallas Mavericks","2","7","42","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","20","104","1","0","20031105","WAS","DAL"
"Shot Chart Detail","0020300053","182","2572","Josh Howard","1610612742","Dallas Mavericks","2","6","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","84","17","1","0","20031105","WAS","DAL"
"Shot Chart Detail","0020300053","424","2572","Josh Howard","1610612742","Dallas Mavericks","4","5","56","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-23","1","0","20031105","WAS","DAL"
