"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700012","19","1628367","Josh Jackson","1610612756","Phoenix Suns","1","11","7","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","14","1","1","20171018","PHX","POR"
"Shot Chart Detail","0021700012","40","1628367","Josh Jackson","1610612756","Phoenix Suns","1","9","4","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","-11","1","1","20171018","PHX","POR"
"Shot Chart Detail","0021700012","84","1628367","Josh Jackson","1610612756","Phoenix Suns","1","5","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","39","89","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","179","1628367","Josh Jackson","1610612756","Phoenix Suns","2","11","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","94","187","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","211","1628367","Josh Jackson","1610612756","Phoenix Suns","2","8","39","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","15","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","235","1628367","Josh Jackson","1610612756","Phoenix Suns","2","7","11","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-122","216","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","249","1628367","Josh Jackson","1610612756","Phoenix Suns","2","5","43","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","14","1","1","20171018","PHX","POR"
"Shot Chart Detail","0021700012","285","1628367","Josh Jackson","1610612756","Phoenix Suns","2","2","41","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","11","27","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","298","1628367","Josh Jackson","1610612756","Phoenix Suns","2","2","7","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","13","1","0","20171018","PHX","POR"
"Shot Chart Detail","0021700012","652","1628367","Josh Jackson","1610612756","Phoenix Suns","4","0","36","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-55","7","1","1","20171018","PHX","POR"
"Shot Chart Detail","0021700026","12","1628367","Josh Jackson","1610612756","Phoenix Suns","1","10","50","Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","13","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","86","1628367","Josh Jackson","1610612756","Phoenix Suns","1","7","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","129","217","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","101","1628367","Josh Jackson","1610612756","Phoenix Suns","1","6","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-229","115","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","347","1628367","Josh Jackson","1610612756","Phoenix Suns","2","1","56","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-23","21","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","392","1628367","Josh Jackson","1610612756","Phoenix Suns","3","11","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-215","129","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","401","1628367","Josh Jackson","1610612756","Phoenix Suns","3","10","34","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-54","71","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","405","1628367","Josh Jackson","1610612756","Phoenix Suns","3","10","0","Missed Shot","Driving Floating Bank Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-10","6","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","423","1628367","Josh Jackson","1610612756","Phoenix Suns","3","8","50","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","17","206","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","612","1628367","Josh Jackson","1610612756","Phoenix Suns","4","8","18","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","59","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","617","1628367","Josh Jackson","1610612756","Phoenix Suns","4","8","8","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","8","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700037","28","1628367","Josh Jackson","1610612756","Phoenix Suns","1","9","53","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-8","26","1","1","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","174","1628367","Josh Jackson","1610612756","Phoenix Suns","2","10","6","Missed Shot","Driving Floating Bank Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-13","25","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","218","1628367","Josh Jackson","1610612756","Phoenix Suns","2","7","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-130","71","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","246","1628367","Josh Jackson","1610612756","Phoenix Suns","2","5","11","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","157","197","1","1","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","337","1628367","Josh Jackson","1610612756","Phoenix Suns","3","11","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-115","232","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","345","1628367","Josh Jackson","1610612756","Phoenix Suns","3","10","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","133","242","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","350","1628367","Josh Jackson","1610612756","Phoenix Suns","3","9","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","122","223","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","359","1628367","Josh Jackson","1610612756","Phoenix Suns","3","8","52","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","-1","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","375","1628367","Josh Jackson","1610612756","Phoenix Suns","3","8","12","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-12","48","1","0","20171021","LAC","PHX"
"Shot Chart Detail","0021700037","581","1628367","Josh Jackson","1610612756","Phoenix Suns","4","7","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-56","251","1","1","20171021","LAC","PHX"
"Shot Chart Detail","0021700048","79","1628367","Josh Jackson","1610612756","Phoenix Suns","1","3","50","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","2","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","135","1628367","Josh Jackson","1610612756","Phoenix Suns","1","0","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-109","238","1","0","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","146","1628367","Josh Jackson","1610612756","Phoenix Suns","2","11","23","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","-11","1","0","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","181","1628367","Josh Jackson","1610612756","Phoenix Suns","2","9","25","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","57","42","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","201","1628367","Josh Jackson","1610612756","Phoenix Suns","2","7","38","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","7","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","457","1628367","Josh Jackson","1610612756","Phoenix Suns","3","3","2","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","172","58","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","494","1628367","Josh Jackson","1610612756","Phoenix Suns","3","0","45","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-211","115","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700048","534","1628367","Josh Jackson","1610612756","Phoenix Suns","4","8","58","Made Shot","Driving Floating Bank Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-32","4","1","1","20171023","PHX","SAC"
"Shot Chart Detail","0021700062","97","1628367","Josh Jackson","1610612756","Phoenix Suns","1","4","6","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","8","78","1","0","20171025","PHX","UTA"
"Shot Chart Detail","0021700062","119","1628367","Josh Jackson","1610612756","Phoenix Suns","1","2","43","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","127","132","1","0","20171025","PHX","UTA"
"Shot Chart Detail","0021700062","142","1628367","Josh Jackson","1610612756","Phoenix Suns","1","1","27","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","-4","1","0","20171025","PHX","UTA"
"Shot Chart Detail","0021700062","210","1628367","Josh Jackson","1610612756","Phoenix Suns","2","7","59","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","14","1","1","20171025","PHX","UTA"
