"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700444","417","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","0","58","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-90","-5","1","1","20071230","POR","PHI"
"Shot Chart Detail","0020700444","421","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","0","37","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-141","109","1","1","20071230","POR","PHI"
"Shot Chart Detail","0020700731","264","201177","Josh McRoberts","1610612757","Portland Trail Blazers","3","2","7","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080208","DET","POR"
"Shot Chart Detail","0020700731","285","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","11","47","Made Shot","Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","102","31","1","1","20080208","DET","POR"
"Shot Chart Detail","0020700731","301","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","9","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","11","250","1","0","20080208","DET","POR"
"Shot Chart Detail","0020700731","352","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","4","5","Made Shot","Reverse Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080208","DET","POR"
"Shot Chart Detail","0020700731","359","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","3","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20080208","DET","POR"
"Shot Chart Detail","0020701215","443","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","2","30","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","23","25","1","0","20080415","POR","MEM"
"Shot Chart Detail","0020701215","464","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","1","28","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080415","POR","MEM"
"Shot Chart Detail","0020701215","466","201177","Josh McRoberts","1610612757","Portland Trail Blazers","4","1","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-195","35","1","0","20080415","POR","MEM"
