"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800032","67","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","1","6","37","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","223","25","1","0","20181020","DAL","MIN"
"Shot Chart Detail","0021800032","294","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","2","4","45","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20181020","DAL","MIN"
"Shot Chart Detail","0021800032","343","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","2","1","54","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","4","1","1","20181020","DAL","MIN"
"Shot Chart Detail","0021800032","421","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","3","8","40","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","28","1","0","20181020","DAL","MIN"
"Shot Chart Detail","0021800032","481","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","3","4","32","Made Shot","Running Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","11","1","1","20181020","DAL","MIN"
"Shot Chart Detail","0021800043","156","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","1","1","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-10","29","1","0","20181022","MIN","IND"
"Shot Chart Detail","0021800043","295","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","2","3","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-158","179","1","0","20181022","MIN","IND"
"Shot Chart Detail","0021800043","299","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","2","3","6","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","6","1","1","20181022","MIN","IND"
"Shot Chart Detail","0021800043","324","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","2","0","55","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-1","1","1","20181022","MIN","IND"
"Shot Chart Detail","0021800043","345","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","3","11","17","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-21","1","0","20181022","MIN","IND"
"Shot Chart Detail","0021800043","359","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","3","10","5","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","220","84","1","0","20181022","MIN","IND"
"Shot Chart Detail","0021800043","361","1629006","Josh Okogie","1610612750","Minnesota Timberwolves","3","9","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","141","59","1","0","20181022","MIN","IND"
