"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020900020","418","201950","Jrue Holiday","1610612755","Philadelphia 76ers","3","0","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091030","PHI","MIL"
"Shot Chart Detail","0020900053","427","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","5","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","47","197","1","1","20091103","PHI","BOS"
"Shot Chart Detail","0020900053","456","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","1","28","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","34","1","1","20091103","PHI","BOS"
"Shot Chart Detail","0020900098","168","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","8","36","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","127","227","1","1","20091109","PHI","PHX"
"Shot Chart Detail","0020900098","200","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","5","58","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","133","206","1","1","20091109","PHI","PHX"
"Shot Chart Detail","0020900098","219","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","3","11","Made Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-131","-27","1","1","20091109","PHI","PHX"
"Shot Chart Detail","0020900098","222","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","2","51","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","-2","1","0","20091109","PHI","PHX"
"Shot Chart Detail","0020900098","413","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","6","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","84","159","1","0","20091109","PHI","PHX"
"Shot Chart Detail","0020900113","120","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","10","37","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","0","146","1","0","20091111","NJN","PHI"
"Shot Chart Detail","0020900113","126","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","10","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","141","197","1","0","20091111","NJN","PHI"
"Shot Chart Detail","0020900113","133","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","9","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","22","47","222","1","0","20091111","NJN","PHI"
"Shot Chart Detail","0020900125","444","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","1","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-30","249","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900125","459","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","0","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-133","208","1","0","20091113","PHI","UTA"
"Shot Chart Detail","0020900139","335","201950","Jrue Holiday","1610612755","Philadelphia 76ers","3","0","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-3","1","0","20091114","CHI","PHI"
"Shot Chart Detail","0020900174","141","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","8","9","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091120","PHI","MEM"
"Shot Chart Detail","0020900174","151","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","7","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","6","56","1","0","20091120","PHI","MEM"
"Shot Chart Detail","0020900174","166","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","5","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-155","228","1","0","20091120","PHI","MEM"
"Shot Chart Detail","0020900174","169","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","5","33","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20091120","PHI","MEM"
"Shot Chart Detail","0020900174","175","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","4","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20091120","PHI","MEM"
"Shot Chart Detail","0020900203","431","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","9","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-114","239","1","0","20091124","WAS","PHI"
"Shot Chart Detail","0020900203","432","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","9","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","137","243","1","1","20091124","WAS","PHI"
"Shot Chart Detail","0020900203","450","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","7","14","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-210","148","1","1","20091124","WAS","PHI"
"Shot Chart Detail","0020900203","472","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","5","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-199","143","1","1","20091124","WAS","PHI"
"Shot Chart Detail","0020900203","482","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","4","20","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","13","6","1","1","20091124","WAS","PHI"
"Shot Chart Detail","0020900203","494","201950","Jrue Holiday","1610612755","Philadelphia 76ers","4","3","19","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","44","1","0","20091124","WAS","PHI"
"Shot Chart Detail","0020900210","20","201950","Jrue Holiday","1610612755","Philadelphia 76ers","1","9","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","7","15","1","0","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","24","201950","Jrue Holiday","1610612755","Philadelphia 76ers","1","8","54","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","3","1","0","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","32","201950","Jrue Holiday","1610612755","Philadelphia 76ers","1","7","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","168","-8","1","0","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","78","201950","Jrue Holiday","1610612755","Philadelphia 76ers","1","3","36","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","14","1","1","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","98","201950","Jrue Holiday","1610612755","Philadelphia 76ers","1","1","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-119","211","1","0","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","232","201950","Jrue Holiday","1610612755","Philadelphia 76ers","2","1","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-106","26","1","0","20091125","BOS","PHI"
"Shot Chart Detail","0020900210","284","201950","Jrue Holiday","1610612755","Philadelphia 76ers","3","8","24","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","4","45","1","0","20091125","BOS","PHI"
