"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020700022","112","201153","Julian Wright","1610612740","New Orleans Hornets","2","11","2","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","47","58","1","1","20071102","NOH","POR"
"Shot Chart Detail","0020700040","184","201153","Julian Wright","1610612740","New Orleans Hornets","2","6","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071104","DEN","NOH"
"Shot Chart Detail","0020700052","168","201153","Julian Wright","1610612740","New Orleans Hornets","2","7","56","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071106","LAL","NOH"
"Shot Chart Detail","0020700088","403","201153","Julian Wright","1610612740","New Orleans Hornets","4","0","38","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071111","PHI","NOH"
"Shot Chart Detail","0020700135","367","201153","Julian Wright","1610612740","New Orleans Hornets","4","2","59","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","67","28","1","0","20071117","MIN","NOH"
"Shot Chart Detail","0020700135","376","201153","Julian Wright","1610612740","New Orleans Hornets","4","2","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-171","22","1","0","20071117","MIN","NOH"
"Shot Chart Detail","0020700178","449","201153","Julian Wright","1610612740","New Orleans Hornets","4","3","55","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071123","UTA","NOH"
"Shot Chart Detail","0020700178","472","201153","Julian Wright","1610612740","New Orleans Hornets","4","0","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","21","-199","72","1","0","20071123","UTA","NOH"
"Shot Chart Detail","0020700227","127","201153","Julian Wright","1610612740","New Orleans Hornets","2","10","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071130","ATL","NOH"
"Shot Chart Detail","0020700267","463","201153","Julian Wright","1610612740","New Orleans Hornets","4","0","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","148","173","1","0","20071205","NOH","DET"
"Shot Chart Detail","0020700282","128","201153","Julian Wright","1610612740","New Orleans Hornets","2","11","35","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071207","NOH","MEM"
"Shot Chart Detail","0020700282","131","201153","Julian Wright","1610612740","New Orleans Hornets","2","11","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-123","10","1","1","20071207","NOH","MEM"
"Shot Chart Detail","0020700282","138","201153","Julian Wright","1610612740","New Orleans Hornets","2","10","12","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071207","NOH","MEM"
"Shot Chart Detail","0020700282","270","201153","Julian Wright","1610612740","New Orleans Hornets","3","8","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-186","40","1","0","20071207","NOH","MEM"
"Shot Chart Detail","0020700282","434","201153","Julian Wright","1610612740","New Orleans Hornets","4","5","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-171","91","1","0","20071207","NOH","MEM"
"Shot Chart Detail","0020700282","440","201153","Julian Wright","1610612740","New Orleans Hornets","4","4","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","105","222","1","0","20071207","NOH","MEM"
"Shot Chart Detail","0020700299","11","201153","Julian Wright","1610612740","New Orleans Hornets","1","10","31","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","68","201153","Julian Wright","1610612740","New Orleans Hornets","1","4","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-77","161","1","0","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","195","201153","Julian Wright","1610612740","New Orleans Hornets","2","5","15","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","268","201153","Julian Wright","1610612740","New Orleans Hornets","3","10","23","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","64","120","1","0","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","272","201153","Julian Wright","1610612740","New Orleans Hornets","3","9","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","131","61","1","0","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","286","201153","Julian Wright","1610612740","New Orleans Hornets","3","8","3","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","131","135","1","1","20071209","NOH","SEA"
"Shot Chart Detail","0020700299","367","201153","Julian Wright","1610612740","New Orleans Hornets","3","0","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071209","NOH","SEA"
"Shot Chart Detail","0020700322","174","201153","Julian Wright","1610612740","New Orleans Hornets","2","7","5","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071212","DEN","NOH"
"Shot Chart Detail","0020700322","379","201153","Julian Wright","1610612740","New Orleans Hornets","4","11","5","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","5","86","1","0","20071212","DEN","NOH"
"Shot Chart Detail","0020700336","115","201153","Julian Wright","1610612740","New Orleans Hornets","2","10","57","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071214","DAL","NOH"
"Shot Chart Detail","0020700336","134","201153","Julian Wright","1610612740","New Orleans Hornets","2","9","0","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071214","DAL","NOH"
"Shot Chart Detail","0020700336","357","201153","Julian Wright","1610612740","New Orleans Hornets","4","9","37","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071214","DAL","NOH"
"Shot Chart Detail","0020700345","146","201153","Julian Wright","1610612740","New Orleans Hornets","2","8","40","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-153","87","1","0","20071215","NOH","PHX"
"Shot Chart Detail","0020700345","239","201153","Julian Wright","1610612740","New Orleans Hornets","2","5","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","119","44","1","0","20071215","NOH","PHX"
"Shot Chart Detail","0020700345","219","201153","Julian Wright","1610612740","New Orleans Hornets","2","1","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-192","7","1","0","20071215","NOH","PHX"
"Shot Chart Detail","0020700345","221","201153","Julian Wright","1610612740","New Orleans Hornets","2","1","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","114","49","1","0","20071215","NOH","PHX"
"Shot Chart Detail","0020700345","377","201153","Julian Wright","1610612740","New Orleans Hornets","4","9","33","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071215","NOH","PHX"
"Shot Chart Detail","0020700361","141","201153","Julian Wright","1610612740","New Orleans Hornets","2","8","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","-16","214","1","0","20071217","POR","NOH"
"Shot Chart Detail","0020700361","211","201153","Julian Wright","1610612740","New Orleans Hornets","2","1","43","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071217","POR","NOH"
"Shot Chart Detail","0020700377","115","201153","Julian Wright","1610612740","New Orleans Hornets","2","10","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-202","41","1","0","20071219","SEA","NOH"
"Shot Chart Detail","0020700395","132","201153","Julian Wright","1610612740","New Orleans Hornets","2","6","44","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071222","NOH","MIN"
"Shot Chart Detail","0020700395","358","201153","Julian Wright","1610612740","New Orleans Hornets","4","10","18","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071222","NOH","MIN"
