"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100083","514","202712","Justin Harper","1610612753","Orlando Magic","4","3","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","181","15","1","0","20120104","ORL","WAS"
"Shot Chart Detail","0021100083","552","202712","Justin Harper","1610612753","Orlando Magic","4","0","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","45","246","1","0","20120104","ORL","WAS"
"Shot Chart Detail","0021100278","461","202712","Justin Harper","1610612753","Orlando Magic","4","1","45","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","185","42","1","0","20120127","NOH","ORL"
"Shot Chart Detail","0021100685","494","202712","Justin Harper","1610612753","Orlando Magic","4","0","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-136","149","1","0","20120321","ORL","PHX"
"Shot Chart Detail","0021100843","442","202712","Justin Harper","1610612753","Orlando Magic","4","5","35","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-114","173","1","1","20120409","ORL","DET"
"Shot Chart Detail","0021100843","448","202712","Justin Harper","1610612753","Orlando Magic","4","4","42","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","9","1","1","20120409","ORL","DET"
"Shot Chart Detail","0021100876","398","202712","Justin Harper","1610612753","Orlando Magic","4","6","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-160","113","1","0","20120413","ORL","ATL"
"Shot Chart Detail","0021100876","435","202712","Justin Harper","1610612753","Orlando Magic","4","3","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","77","238","1","0","20120413","ORL","ATL"
"Shot Chart Detail","0021100876","460","202712","Justin Harper","1610612753","Orlando Magic","4","1","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-226","64","1","0","20120413","ORL","ATL"
"Shot Chart Detail","0021100950","131","202712","Justin Harper","1610612753","Orlando Magic","2","8","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-128","213","1","0","20120421","UTA","ORL"
"Shot Chart Detail","0021100950","143","202712","Justin Harper","1610612753","Orlando Magic","2","6","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-194","-25","1","0","20120421","UTA","ORL"
"Shot Chart Detail","0021100950","147","202712","Justin Harper","1610612753","Orlando Magic","2","6","4","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-92","19","1","0","20120421","UTA","ORL"
"Shot Chart Detail","0021100971","231","202712","Justin Harper","1610612753","Orlando Magic","2","4","23","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","228","61","1","0","20120425","ORL","CHA"
"Shot Chart Detail","0021100985","83","202712","Justin Harper","1610612753","Orlando Magic","1","2","55","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-147","206","1","0","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","102","202712","Justin Harper","1610612753","Orlando Magic","1","1","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-133","224","1","0","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","115","202712","Justin Harper","1610612753","Orlando Magic","1","0","3","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","51","104","1","0","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","129","202712","Justin Harper","1610612753","Orlando Magic","2","10","59","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","3","1","0","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","130","202712","Justin Harper","1610612753","Orlando Magic","2","10","57","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","1","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","138","202712","Justin Harper","1610612753","Orlando Magic","2","9","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","11","1","1","20120426","MEM","ORL"
"Shot Chart Detail","0021100985","159","202712","Justin Harper","1610612753","Orlando Magic","2","7","34","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-150","220","1","1","20120426","MEM","ORL"
