"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400005","116","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","1","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-164","198","1","0","20141029","IND","PHI"
"Shot Chart Detail","0021400005","160","203909","KJ McDaniels","1610612755","Philadelphia 76ers","2","10","10","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","26","85","1","0","20141029","IND","PHI"
"Shot Chart Detail","0021400005","163","203909","KJ McDaniels","1610612755","Philadelphia 76ers","2","9","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","4","1","0","20141029","IND","PHI"
"Shot Chart Detail","0021400005","342","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","8","7","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-7","45","1","1","20141029","IND","PHI"
"Shot Chart Detail","0021400005","396","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","2","51","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-16","6","1","0","20141029","IND","PHI"
"Shot Chart Detail","0021400023","92","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","3","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","7","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","94","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","3","15","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","97","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","2","41","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","4","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","110","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","1","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","4","1","0","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","117","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","0","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","212","135","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","414","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","2","15","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-196","183","1","1","20141031","MIL","PHI"
"Shot Chart Detail","0021400023","426","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","0","38","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","26","1","0","20141031","MIL","PHI"
"Shot Chart Detail","0021400030","111","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","2","10","Made Shot","Driving Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141101","PHI","MIA"
"Shot Chart Detail","0021400030","357","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","5","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-149","201","1","1","20141101","PHI","MIA"
"Shot Chart Detail","0021400030","398","203909","KJ McDaniels","1610612755","Philadelphia 76ers","3","1","29","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-14","1","0","20141101","PHI","MIA"
"Shot Chart Detail","0021400030","540","203909","KJ McDaniels","1610612755","Philadelphia 76ers","4","1","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","28","-171","225","1","0","20141101","PHI","MIA"
"Shot Chart Detail","0021400043","83","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","119","175","1","0","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","86","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","2","29","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-60","31","1","0","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","102","203909","KJ McDaniels","1610612755","Philadelphia 76ers","1","1","21","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","7","1","1","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","132","203909","KJ McDaniels","1610612755","Philadelphia 76ers","2","10","3","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","7","1","0","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","238","203909","KJ McDaniels","1610612755","Philadelphia 76ers","2","0","55","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-142","195","1","1","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","241","203909","KJ McDaniels","1610612755","Philadelphia 76ers","2","0","13","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-153","224","1","1","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","381","203909","KJ McDaniels","1610612755","Philadelphia 76ers","4","11","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-213","135","1","0","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","476","203909","KJ McDaniels","1610612755","Philadelphia 76ers","4","5","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-185","75","1","1","20141103","PHI","HOU"
"Shot Chart Detail","0021400043","500","203909","KJ McDaniels","1610612755","Philadelphia 76ers","4","1","58","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-246","-6","1","1","20141103","PHI","HOU"
