"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800071","624","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","4","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","110","57","1","0","20181026","MIN","MIL"
"Shot Chart Detail","0021800138","505","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","11","26","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-143","148","1","0","20181104","POR","MIN"
"Shot Chart Detail","0021800138","547","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","7","45","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-116","228","1","0","20181104","POR","MIN"
"Shot Chart Detail","0021800138","549","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","7","40","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","58","1","1","20181104","POR","MIN"
"Shot Chart Detail","0021800138","589","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","4","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-120","231","1","0","20181104","POR","MIN"
"Shot Chart Detail","0021800138","613","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","2","57","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-229","83","1","0","20181104","POR","MIN"
"Shot Chart Detail","0021800138","632","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","1","34","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","0","1","1","20181104","POR","MIN"
"Shot Chart Detail","0021800138","643","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","0","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-88","252","1","0","20181104","POR","MIN"
"Shot Chart Detail","0021800652","652","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","4","37","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-84","104","1","0","20190115","PHI","MIN"
"Shot Chart Detail","0021800705","634","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","4","7","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-6","193","1","1","20190122","PHX","MIN"
"Shot Chart Detail","0021800705","649","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","3","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","84","241","1","0","20190122","PHX","MIN"
"Shot Chart Detail","0021800878","534","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","11","35","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","20","1","1","20190222","NYK","MIN"
"Shot Chart Detail","0021800878","601","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","6","53","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","-1","1","0","20190222","NYK","MIN"
"Shot Chart Detail","0021800878","686","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","0","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-169","190","1","0","20190222","NYK","MIN"
"Shot Chart Detail","0021800891","198","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","2","9","25","Made Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","24","34","1","1","20190223","MIL","MIN"
"Shot Chart Detail","0021800891","480","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","3","2","18","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","16","9","1","1","20190223","MIL","MIN"
"Shot Chart Detail","0021800891","520","1628966","Keita Bates-Diop","1610612750","Minnesota Timberwolves","4","11","11","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","13","1","1","20190223","MIL","MIN"
