"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000010","157","2039","Keyon Dooling","1610612746","Los Angeles Clippers","2","7","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","159","-8","1","0","20001031","UTA","LAC"
"Shot Chart Detail","0020000010","459","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","4","35","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-208","7","1","1","20001031","UTA","LAC"
"Shot Chart Detail","0020000010","463","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","3","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-73","194","1","0","20001031","UTA","LAC"
"Shot Chart Detail","0020000010","465","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","3","50","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","91","230","1","1","20001031","UTA","LAC"
"Shot Chart Detail","0020000010","495","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","2","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-126","224","1","0","20001031","UTA","LAC"
"Shot Chart Detail","0020000027","181","2039","Keyon Dooling","1610612746","Los Angeles Clippers","2","4","20","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","62","87","1","0","20001102","LAC","VAN"
"Shot Chart Detail","0020000027","388","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","5","54","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-58","26","1","1","20001102","LAC","VAN"
"Shot Chart Detail","0020000044","179","2039","Keyon Dooling","1610612746","Los Angeles Clippers","2","4","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","91","179","1","0","20001104","LAC","HOU"
"Shot Chart Detail","0020000044","339","2039","Keyon Dooling","1610612746","Los Angeles Clippers","3","0","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-10","80","1","0","20001104","LAC","HOU"
"Shot Chart Detail","0020000044","354","2039","Keyon Dooling","1610612746","Los Angeles Clippers","4","10","58","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","LAC","HOU"
