"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700028","612","203920","Khem Birch","1610612753","Orlando Magic","4","3","25","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","13","1","1","20171021","CLE","ORL"
"Shot Chart Detail","0021700028","639","203920","Khem Birch","1610612753","Orlando Magic","4","1","5","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","46","143","1","0","20171021","CLE","ORL"
"Shot Chart Detail","0021700028","649","203920","Khem Birch","1610612753","Orlando Magic","4","0","24","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","15","1","0","20171021","CLE","ORL"
"Shot Chart Detail","0021700318","652","203920","Khem Birch","1610612753","Orlando Magic","4","2","0","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","12","1","1","20171201","ORL","GSW"
"Shot Chart Detail","0021700318","676","203920","Khem Birch","1610612753","Orlando Magic","4","0","14","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-38","122","1","0","20171201","ORL","GSW"
"Shot Chart Detail","0021700554","626","203920","Khem Birch","1610612753","Orlando Magic","4","0","53","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","12","1","1","20180103","ORL","HOU"
"Shot Chart Detail","0021700554","629","203920","Khem Birch","1610612753","Orlando Magic","4","0","28","Missed Shot","Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","11","50","1","0","20180103","ORL","HOU"
"Shot Chart Detail","0021700554","631","203920","Khem Birch","1610612753","Orlando Magic","4","0","23","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20180103","ORL","HOU"
"Shot Chart Detail","0021700649","175","203920","Khem Birch","1610612753","Orlando Magic","2","10","53","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20180116","ORL","MIN"
"Shot Chart Detail","0021700649","189","203920","Khem Birch","1610612753","Orlando Magic","2","10","7","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20180116","ORL","MIN"
"Shot Chart Detail","0021700649","205","203920","Khem Birch","1610612753","Orlando Magic","2","8","28","Made Shot","Tip Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20180116","ORL","MIN"
"Shot Chart Detail","0021700649","226","203920","Khem Birch","1610612753","Orlando Magic","2","7","12","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","7","1","0","20180116","ORL","MIN"
"Shot Chart Detail","0021700649","237","203920","Khem Birch","1610612753","Orlando Magic","2","5","56","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","5","21","1","1","20180116","ORL","MIN"
"Shot Chart Detail","0021700649","542","203920","Khem Birch","1610612753","Orlando Magic","4","4","38","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","11","1","1","20180116","ORL","MIN"
"Shot Chart Detail","0021700664","237","203920","Khem Birch","1610612753","Orlando Magic","2","6","32","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","63","83","1","1","20180118","CLE","ORL"
"Shot Chart Detail","0021700664","551","203920","Khem Birch","1610612753","Orlando Magic","4","7","54","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","12","-63","104","1","1","20180118","CLE","ORL"
