"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800038","458","201585","Kosta Koufos","1610612762","Utah Jazz","4","2","44","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-68","28","1","0","20081101","UTA","LAC"
"Shot Chart Detail","0020800038","480","201585","Kosta Koufos","1610612762","Utah Jazz","4","0","17","Missed Shot","Jump Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","99","3","1","0","20081101","UTA","LAC"
"Shot Chart Detail","0020800047","494","201585","Kosta Koufos","1610612762","Utah Jazz","4","0","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081103","LAC","UTA"
"Shot Chart Detail","0020800100","30","201585","Kosta Koufos","1610612762","Utah Jazz","1","9","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-183","-16","1","0","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","38","201585","Kosta Koufos","1610612762","Utah Jazz","1","9","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","71","201585","Kosta Koufos","1610612762","Utah Jazz","1","5","13","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","162","201585","Kosta Koufos","1610612762","Utah Jazz","2","8","5","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-48","17","1","1","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","251","201585","Kosta Koufos","1610612762","Utah Jazz","3","11","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","264","201585","Kosta Koufos","1610612762","Utah Jazz","3","10","42","Made Shot","Jump Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-54","37","1","1","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","287","201585","Kosta Koufos","1610612762","Utah Jazz","3","9","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-51","61","1","0","20081111","PHI","UTA"
"Shot Chart Detail","0020800100","312","201585","Kosta Koufos","1610612762","Utah Jazz","3","6","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-164","9","1","0","20081111","PHI","UTA"
"Shot Chart Detail","0020800114","35","201585","Kosta Koufos","1610612762","Utah Jazz","1","7","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-158","75","1","0","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","47","201585","Kosta Koufos","1610612762","Utah Jazz","1","6","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-123","93","1","0","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","242","201585","Kosta Koufos","1610612762","Utah Jazz","3","11","41","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","7","1","1","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","391","201585","Kosta Koufos","1610612762","Utah Jazz","3","0","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","23","1","1","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","403","201585","Kosta Koufos","1610612762","Utah Jazz","4","11","34","Made Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-152","19","1","1","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","422","201585","Kosta Koufos","1610612762","Utah Jazz","4","9","16","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-163","85","1","1","20081112","WAS","UTA"
"Shot Chart Detail","0020800114","540","201585","Kosta Koufos","1610612762","Utah Jazz","4","0","0","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","17","3","1","1","20081112","WAS","UTA"
"Shot Chart Detail","0020800120","10","201585","Kosta Koufos","1610612762","Utah Jazz","1","11","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-100","181","1","0","20081114","CHA","UTA"
