"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500012","37","204001","Kristaps Porzingis","1610612752","New York Knicks","1","8","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-19","16","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","46","204001","Kristaps Porzingis","1610612752","New York Knicks","1","7","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","122","7","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","50","204001","Kristaps Porzingis","1610612752","New York Knicks","1","7","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","128","-11","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","207","204001","Kristaps Porzingis","1610612752","New York Knicks","2","7","5","Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","-4","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","213","204001","Kristaps Porzingis","1610612752","New York Knicks","2","6","14","Made Shot","Turnaround Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","35","-5","1","1","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","249","204001","Kristaps Porzingis","1610612752","New York Knicks","2","3","24","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-12","0","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","373","204001","Kristaps Porzingis","1610612752","New York Knicks","3","7","19","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-50","-21","1","1","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","392","204001","Kristaps Porzingis","1610612752","New York Knicks","3","5","46","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","63","249","1","1","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","399","204001","Kristaps Porzingis","1610612752","New York Knicks","3","4","38","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-9","51","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","513","204001","Kristaps Porzingis","1610612752","New York Knicks","4","6","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-160","121","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500012","564","204001","Kristaps Porzingis","1610612752","New York Knicks","4","3","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","28","-243","149","1","0","20151028","MIL","NYK"
"Shot Chart Detail","0021500019","5","204001","Kristaps Porzingis","1610612752","New York Knicks","1","11","30","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-45","3","1","0","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","34","204001","Kristaps Porzingis","1610612752","New York Knicks","1","8","31","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","2","1","0","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","60","204001","Kristaps Porzingis","1610612752","New York Knicks","1","5","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","153","210","1","0","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","69","204001","Kristaps Porzingis","1610612752","New York Knicks","1","5","3","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","3","1","1","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","189","204001","Kristaps Porzingis","1610612752","New York Knicks","2","4","23","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","252","204001","Kristaps Porzingis","1610612752","New York Knicks","3","11","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","156","198","1","0","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","272","204001","Kristaps Porzingis","1610612752","New York Knicks","3","9","5","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151029","NYK","ATL"
"Shot Chart Detail","0021500019","275","204001","Kristaps Porzingis","1610612752","New York Knicks","3","8","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","133","208","1","0","20151029","NYK","ATL"
