"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600010","336","200768","Kyle Lowry","1610612763","Memphis Grizzlies","3","1","43","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-136","164","1","1","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","467","200768","Kyle Lowry","1610612763","Memphis Grizzlies","4","3","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","503","200768","Kyle Lowry","1610612763","Memphis Grizzlies","4","0","21","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600010","529","200768","Kyle Lowry","1610612763","Memphis Grizzlies","5","3","11","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061101","MEM","NYK"
"Shot Chart Detail","0020600024","107","200768","Kyle Lowry","1610612763","Memphis Grizzlies","1","0","1","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-11","66","1","0","20061103","MEM","CHA"
"Shot Chart Detail","0020600034","150","200768","Kyle Lowry","1610612763","Memphis Grizzlies","2","6","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600034","173","200768","Kyle Lowry","1610612763","Memphis Grizzlies","2","4","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-182","51","1","0","20061104","DET","MEM"
"Shot Chart Detail","0020600096","291","200768","Kyle Lowry","1610612763","Memphis Grizzlies","3","5","31","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-141","0","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600096","302","200768","Kyle Lowry","1610612763","Memphis Grizzlies","3","4","47","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061112","LAL","MEM"
"Shot Chart Detail","0020600096","386","200768","Kyle Lowry","1610612763","Memphis Grizzlies","4","9","45","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","40","1","0","20061112","LAL","MEM"
"Shot Chart Detail","0020600115","135","200768","Kyle Lowry","1610612763","Memphis Grizzlies","2","9","2","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","25","1","1","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","138","200768","Kyle Lowry","1610612763","Memphis Grizzlies","2","8","34","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","168","200768","Kyle Lowry","1610612763","Memphis Grizzlies","2","5","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","98","229","1","0","20061115","SAC","MEM"
"Shot Chart Detail","0020600115","347","200768","Kyle Lowry","1610612763","Memphis Grizzlies","3","0","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","172","179","1","0","20061115","SAC","MEM"
