"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021200016","551","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","0","54","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","59","48","1","0","20121102","ORL","DEN"
"Shot Chart Detail","0021200069","412","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","6","59","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","28","53","1","0","20121109","ORL","BKN"
"Shot Chart Detail","0021200069","458","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","3","52","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","80","33","1","0","20121109","ORL","BKN"
"Shot Chart Detail","0021200149","523","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","0","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-116","154","1","0","20121119","ATL","ORL"
"Shot Chart Detail","0021200158","358","203124","Kyle O'Quinn","1610612753","Orlando Magic","3","6","5","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","6","1","0","20121121","ORL","DET"
"Shot Chart Detail","0021200210","422","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","8","11","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","3","1","1","20121128","ORL","SAS"
"Shot Chart Detail","0021200210","427","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","6","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","15","22","1","0","20121128","ORL","SAS"
"Shot Chart Detail","0021200210","429","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","6","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","17","1","0","20121128","ORL","SAS"
"Shot Chart Detail","0021200210","468","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","3","38","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","-21","179","1","0","20121128","ORL","SAS"
"Shot Chart Detail","0021200210","473","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","3","19","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","12","1","1","20121128","ORL","SAS"
"Shot Chart Detail","0021200210","492","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","0","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","92","96","1","0","20121128","ORL","SAS"
"Shot Chart Detail","0021200224","114","203124","Kyle O'Quinn","1610612753","Orlando Magic","2","11","43","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","4","22","1","1","20121130","ORL","BKN"
"Shot Chart Detail","0021200224","482","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","1","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","14","1","0","20121130","ORL","BKN"
"Shot Chart Detail","0021200244","133","203124","Kyle O'Quinn","1610612753","Orlando Magic","2","10","41","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","16","-4","165","1","1","20121202","LAL","ORL"
"Shot Chart Detail","0021200244","402","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","10","32","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","3","1","1","20121202","LAL","ORL"
"Shot Chart Detail","0021200350","274","203124","Kyle O'Quinn","1610612753","Orlando Magic","2","0","6","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","25","1","1","20121217","ORL","MIN"
"Shot Chart Detail","0021200401","98","203124","Kyle O'Quinn","1610612753","Orlando Magic","2","11","35","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","110","6","1","1","20121223","ORL","UTA"
"Shot Chart Detail","0021200425","83","203124","Kyle O'Quinn","1610612753","Orlando Magic","1","3","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-54","-19","1","0","20121228","WAS","ORL"
"Shot Chart Detail","0021200425","107","203124","Kyle O'Quinn","1610612753","Orlando Magic","1","1","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","-2","1","0","20121228","WAS","ORL"
"Shot Chart Detail","0021200425","119","203124","Kyle O'Quinn","1610612753","Orlando Magic","1","0","38","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","4","-24","1","1","20121228","WAS","ORL"
"Shot Chart Detail","0021200439","454","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","4","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-75","9","1","0","20121229","ORL","TOR"
"Shot Chart Detail","0021200439","479","203124","Kyle O'Quinn","1610612753","Orlando Magic","4","1","2","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","6","1","1","20121229","ORL","TOR"
