"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100009","42","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","8","5","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","39","55","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","53","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","7","17","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","1","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","194","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","5","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-40","241","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","210","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","3","45","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","29","42","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","254","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","0","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","21","9","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","263","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","11","23","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","25","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","289","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","9","14","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-21","170","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","313","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","5","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","205","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","464","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","5","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-155","148","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","480","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","2","24","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-2","26","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","501","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","0","27","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-92","233","1","1","20111226","CLE","TOR"
"Shot Chart Detail","0021100009","514","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","0","6","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-116","222","1","0","20111226","CLE","TOR"
"Shot Chart Detail","0021100026","2","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","11","36","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","9","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100026","29","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","7","17","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-7","66","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","32","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","6","54","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","195","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","3","23","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","3","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","207","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","1","54","Made Shot","Running Bank shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-155","58","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","210","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","1","23","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","36","15","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100026","232","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","0","16","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","-2","1","1","20111228","DET","CLE"
"Shot Chart Detail","0021100026","267","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","8","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","73","205","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100026","291","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","6","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","-11","1","0","20111228","DET","CLE"
"Shot Chart Detail","0021100040","12","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","11","3","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","4","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","18","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","10","33","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-71","216","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","37","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","8","3","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","0","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","41","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","7","43","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-112","165","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","43","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","1","7","19","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-101","135","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","187","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","7","11","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","-10","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","231","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","3","21","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-106","179","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","234","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","2","2","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","2","198","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","313","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","8","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-26","250","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","326","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","7","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-7","15","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","360","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","3","4","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-218","153","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","496","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","6","48","Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","3","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","514","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","5","14","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","9","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","534","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","3","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-125","131","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","547","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","2","32","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","-3","1","1","20111230","IND","CLE"
"Shot Chart Detail","0021100040","567","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","1","5","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-87","48","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","580","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","4","0","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","0","1","0","20111230","IND","CLE"
"Shot Chart Detail","0021100040","586","202681","Kyrie Irving","1610612739","Cleveland Cavaliers","5","4","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-147","131","1","0","20111230","IND","CLE"
