"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600095","114","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","9","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","47","145","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600095","117","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","8","47","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-146","33","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600095","313","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","11","28","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","56","5","1","1","20061112","POR","DAL"
"Shot Chart Detail","0020600095","318","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","25","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-69","3","1","1","20061112","POR","DAL"
"Shot Chart Detail","0020600095","321","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","9","43","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600095","367","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","5","12","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061112","POR","DAL"
"Shot Chart Detail","0020600095","385","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","3","29","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600095","397","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","2","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20061112","POR","DAL"
"Shot Chart Detail","0020600095","417","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","0","56","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","26","40","1","1","20061112","POR","DAL"
"Shot Chart Detail","0020600103","107","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","0","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-123","46","1","0","20061114","MIN","POR"
