"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500077","114","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","1","2","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-7","198","1","0","20151106","BKN","LAL"
"Shot Chart Detail","0021500077","167","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","9","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-196","56","1","1","20151106","BKN","LAL"
"Shot Chart Detail","0021500077","431","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","10","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","166","-11","1","1","20151106","BKN","LAL"
"Shot Chart Detail","0021500077","487","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","6","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-22","2","1","0","20151106","BKN","LAL"
"Shot Chart Detail","0021500095","134","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","1","1","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","51","8","1","0","20151108","NYK","LAL"
"Shot Chart Detail","0021500095","183","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","7","50","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151108","NYK","LAL"
"Shot Chart Detail","0021500108","112","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","1","2","2","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151110","MIA","LAL"
"Shot Chart Detail","0021500108","137","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","10","21","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","96","139","1","0","20151110","MIA","LAL"
"Shot Chart Detail","0021500108","153","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","8","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-169","18","1","1","20151110","MIA","LAL"
"Shot Chart Detail","0021500108","377","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","11","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","48","200","1","0","20151110","MIA","LAL"
"Shot Chart Detail","0021500108","397","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","10","1","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151110","MIA","LAL"
"Shot Chart Detail","0021500114","137","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","10","33","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","7","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500114","157","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","8","30","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","92","174","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500114","159","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","7","56","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","37","198","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500114","178","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","5","37","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","53","36","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500114","386","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","11","5","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","7","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500114","390","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","4","10","22","Made Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-17","31","1","1","20151111","ORL","LAL"
"Shot Chart Detail","0021500135","109","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","1","1","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","163","75","1","0","20151113","DAL","LAL"
"Shot Chart Detail","0021500135","176","1626204","Larry Nance Jr.","1610612747","Los Angeles Lakers","2","7","17","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","51","62","1","0","20151113","DAL","LAL"
