"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021000010","157","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","0","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","157","11","1","0","20101027","NOH","MIL"
"Shot Chart Detail","0021000026","251","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","5","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-108","190","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","270","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","3","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","6","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","278","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","146","53","1","0","20101029","MIN","MIL"
"Shot Chart Detail","0021000026","307","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","1","27","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","11","1","1","20101029","MIN","MIL"
"Shot Chart Detail","0021000052","438","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","3","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","17","-131","123","1","1","20101102","MIL","POR"
"Shot Chart Detail","0021000052","442","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","3","6","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-123","86","1","0","20101102","MIL","POR"
"Shot Chart Detail","0021000052","444","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","3","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","12","1","0","20101102","MIL","POR"
"Shot Chart Detail","0021000104","478","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","4","55","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","6","7","1","1","20101109","MIL","NYK"
"Shot Chart Detail","0021000104","506","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","1","39","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","24","52","1","0","20101109","MIL","NYK"
"Shot Chart Detail","0021000104","513","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","0","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","77","153","1","0","20101109","MIL","NYK"
"Shot Chart Detail","0021000108","474","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","0","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","184","36","1","1","20101110","ATL","MIL"
"Shot Chart Detail","0021000172","385","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","1","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-119","138","1","0","20101119","PHI","MIL"
"Shot Chart Detail","0021000172","389","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","0","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-166","60","1","0","20101119","PHI","MIL"
"Shot Chart Detail","0021000210","115","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","0","16","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","3","1","1","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","129","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","11","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","149","112","1","1","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","161","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","8","28","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-142","97","1","1","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","163","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","7","51","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","12","-122","30","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","204","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","4","12","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","0","58","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","219","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","3","9","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","1","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","234","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","2","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-138","82","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","239","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","1","41","Missed Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-4","55","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","366","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","1","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","19","0","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000210","384","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","0","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","1","1","0","20101124","CLE","MIL"
"Shot Chart Detail","0021000225","60","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","4","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","0","20101126","DET","MIL"
"Shot Chart Detail","0021000225","75","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","3","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","7","1","0","20101126","DET","MIL"
"Shot Chart Detail","0021000225","131","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","10","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","3","1","1","20101126","DET","MIL"
"Shot Chart Detail","0021000225","258","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","0","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","17","165","69","1","0","20101126","DET","MIL"
"Shot Chart Detail","0021000225","393","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","10","54","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","6","1","1","20101126","DET","MIL"
"Shot Chart Detail","0021000225","472","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","2","15","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-105","23","1","1","20101126","DET","MIL"
"Shot Chart Detail","0021000225","487","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","0","9","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","-3","1","1","20101126","DET","MIL"
"Shot Chart Detail","0021000240","13","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","9","46","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","51","151","1","1","20101127","MIL","CHA"
"Shot Chart Detail","0021000240","53","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","6","50","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","15","47","1","1","20101127","MIL","CHA"
"Shot Chart Detail","0021000240","156","202336","Larry Sanders","1610612749","Milwaukee Bucks","2","8","1","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","4","6","1","1","20101127","MIL","CHA"
"Shot Chart Detail","0021000240","273","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","10","59","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-51","15","1","1","20101127","MIL","CHA"
"Shot Chart Detail","0021000240","293","202336","Larry Sanders","1610612749","Milwaukee Bucks","3","8","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-172","17","1","0","20101127","MIL","CHA"
"Shot Chart Detail","0021000240","404","202336","Larry Sanders","1610612749","Milwaukee Bucks","4","7","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","138","110","1","0","20101127","MIL","CHA"
"Shot Chart Detail","0021000253","5","202336","Larry Sanders","1610612749","Milwaukee Bucks","1","11","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","119","56","1","0","20101129","UTA","MIL"
