"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700016","51","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","7","55","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","2","95","1","0","20171019","LAL","LAC"
"Shot Chart Detail","0021700016","113","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","4","27","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-168","188","1","0","20171019","LAL","LAC"
"Shot Chart Detail","0021700016","150","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","2","6","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","8","1","0","20171019","LAL","LAC"
"Shot Chart Detail","0021700016","287","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","2","4","49","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-187","190","1","1","20171019","LAL","LAC"
"Shot Chart Detail","0021700016","366","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","3","10","40","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","4","15","1","0","20171019","LAL","LAC"
"Shot Chart Detail","0021700016","410","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","3","6","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","156","210","1","0","20171019","LAL","LAC"
"Shot Chart Detail","0021700026","64","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","8","29","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","10","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","72","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","7","32","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","-4","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","111","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","5","11","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","199","148","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","131","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","3","56","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","12","-70","106","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","160","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","1","2","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-145","206","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","263","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","2","7","18","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","34","38","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","303","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","2","4","23","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","65","250","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","314","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","2","3","21","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","34","25","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","363","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","2","0","41","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","13","79","105","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","399","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","3","10","42","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","203","149","1","0","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","408","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","3","9","44","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","15","1","1","20171020","PHX","LAL"
"Shot Chart Detail","0021700026","424","1628366","Lonzo Ball","1610612747","Los Angeles Lakers","3","8","37","Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-89","249","1","0","20171020","PHX","LAL"
