"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600948","488","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","1","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-100","3","1","0","20070313","ATL","PHI"
"Shot Chart Detail","0020600992","375","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","5","10","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070318","PHI","HOU"
"Shot Chart Detail","0020600992","383","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","4","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-136","63","1","0","20070318","PHI","HOU"
"Shot Chart Detail","0020601147","186","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","4","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070408","PHI","ATL"
"Shot Chart Detail","0020601147","188","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","4","53","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-2","41","1","0","20070408","PHI","ATL"
"Shot Chart Detail","0020601201","139","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","8","28","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070415","DET","PHI"
"Shot Chart Detail","0020601201","179","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","4","0","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070415","DET","PHI"
"Shot Chart Detail","0020601201","194","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","1","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070415","DET","PHI"
"Shot Chart Detail","0020601201","196","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","1","26","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070415","DET","PHI"
"Shot Chart Detail","0020601201","363","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","7","1","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070415","DET","PHI"
"Shot Chart Detail","0020601201","381","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","4","30","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070415","DET","PHI"
"Shot Chart Detail","0020601201","412","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070415","DET","PHI"
"Shot Chart Detail","0020601211","116","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","11","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070417","PHI","CLE"
"Shot Chart Detail","0020601217","159","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","8","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20070418","TOR","PHI"
"Shot Chart Detail","0020601217","318","200811","Lou Amundson","1610612755","Philadelphia 76ers","3","5","11","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20070418","TOR","PHI"
"Shot Chart Detail","0020700100","488","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","2","11","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071113","DAL","PHI"
"Shot Chart Detail","0020700100","493","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","1","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071113","DAL","PHI"
"Shot Chart Detail","0020700149","377","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","9","23","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20071120","WAS","PHI"
"Shot Chart Detail","0020700149","427","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","3","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","15","-16","1","1","20071120","WAS","PHI"
"Shot Chart Detail","0020700301","376","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","7","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","13","-77","114","1","0","20071210","PHI","HOU"
"Shot Chart Detail","0020700408","146","200811","Lou Amundson","1610612755","Philadelphia 76ers","2","7","55","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20071226","PHI","MIA"
"Shot Chart Detail","0020700496","513","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","21","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20080106","DEN","PHI"
"Shot Chart Detail","0020700783","460","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","1","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080219","MIN","PHI"
"Shot Chart Detail","0020700783","464","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080219","MIN","PHI"
"Shot Chart Detail","0020700867","500","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","84","15","1","0","20080229","GSW","PHI"
"Shot Chart Detail","0020700888","394","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20080303","LAC","PHI"
"Shot Chart Detail","0020700913","390","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","4","45","Made Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","66","10","1","1","20080307","PHI","SEA"
"Shot Chart Detail","0020700913","393","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","4","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-61","3","1","0","20080307","PHI","SEA"
"Shot Chart Detail","0020700913","410","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","2","44","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20080307","PHI","SEA"
"Shot Chart Detail","0020700913","422","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","0","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20080307","PHI","SEA"
"Shot Chart Detail","0020701217","372","200811","Lou Amundson","1610612755","Philadelphia 76ers","4","6","56","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20080416","CHA","PHI"
"Shot Chart Detail","0020800051","139","200811","Lou Amundson","1610612756","Phoenix Suns","2","9","18","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-103","148","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","153","200811","Lou Amundson","1610612756","Phoenix Suns","2","8","23","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","-3","1","1","20081105","IND","PHX"
"Shot Chart Detail","0020800051","227","200811","Lou Amundson","1610612756","Phoenix Suns","2","1","0","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","15","1","0","20081105","IND","PHX"
"Shot Chart Detail","0020800073","223","200811","Lou Amundson","1610612756","Phoenix Suns","2","3","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-81","124","1","1","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","240","200811","Lou Amundson","1610612756","Phoenix Suns","2","1","59","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","251","200811","Lou Amundson","1610612756","Phoenix Suns","2","1","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","431","200811","Lou Amundson","1610612756","Phoenix Suns","4","7","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-128","58","1","0","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","440","200811","Lou Amundson","1610612756","Phoenix Suns","4","6","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","9","140","1","0","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","485","200811","Lou Amundson","1610612756","Phoenix Suns","4","2","9","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081107","CHI","PHX"
"Shot Chart Detail","0020800073","500","200811","Lou Amundson","1610612756","Phoenix Suns","4","0","43","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","4","115","1","1","20081107","CHI","PHX"
"Shot Chart Detail","0020800116","458","200811","Lou Amundson","1610612756","Phoenix Suns","4","5","20","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081112","PHX","HOU"
