"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800002","249","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","2","3","21","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","255","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","2","2","50","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-169","151","1","1","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","361","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","3","5","0","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","387","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","3","3","39","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","9","52","1","0","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","412","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","3","0","8","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","17","219","1","0","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","509","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","4","4","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-37","102","1","0","20081028","CHI","MIL"
"Shot Chart Detail","0020800002","515","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","4","3","44","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081028","CHI","MIL"
"Shot Chart Detail","0020800010","148","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","2","10","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","OKC","MIL"
"Shot Chart Detail","0020800010","154","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","2","9","53","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","OKC","MIL"
"Shot Chart Detail","0020800036","218","201601","Luc Mbah a Moute","1610612749","Milwaukee Bucks","2","1","38","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081101","MIL","TOR"
