"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400175","496","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","4","47","Missed Shot","Running Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","0","1","0","20141121","TOR","MIL"
"Shot Chart Detail","0021400175","510","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","2","42","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141121","TOR","MIL"
"Shot Chart Detail","0021400333","536","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","1","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","7","194","1","0","20141212","TOR","IND"
"Shot Chart Detail","0021400333","555","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","0","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","14","141","15","1","0","20141212","TOR","IND"
"Shot Chart Detail","0021400333","558","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","0","13","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20141212","TOR","IND"
"Shot Chart Detail","0021400400","545","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","0","23","Missed Shot","Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","39","25","1","0","20141221","TOR","NYK"
"Shot Chart Detail","0021400507","539","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","1","33","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20150104","PHX","TOR"
"Shot Chart Detail","0021400819","618","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","0","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","8","1","0","20150221","HOU","TOR"
"Shot Chart Detail","0021500096","503","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","2","39","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","21","1","1","20151108","MIA","TOR"
"Shot Chart Detail","0021500250","132","203512","Lucas Nogueira","1610612761","Toronto Raptors","1","0","5","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-17","249","1","0","20151129","TOR","PHX"
"Shot Chart Detail","0021500250","148","203512","Lucas Nogueira","1610612761","Toronto Raptors","2","10","36","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151129","TOR","PHX"
"Shot Chart Detail","0021500272","418","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","7","50","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151202","ATL","TOR"
"Shot Chart Detail","0021500272","487","203512","Lucas Nogueira","1610612761","Toronto Raptors","4","2","21","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151202","ATL","TOR"
"Shot Chart Detail","0021500278","95","203512","Lucas Nogueira","1610612761","Toronto Raptors","1","1","26","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-27","13","1","1","20151203","TOR","DEN"
"Shot Chart Detail","0021500278","341","203512","Lucas Nogueira","1610612761","Toronto Raptors","3","2","24","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151203","TOR","DEN"
"Shot Chart Detail","0021500278","353","203512","Lucas Nogueira","1610612761","Toronto Raptors","3","1","7","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151203","TOR","DEN"
"Shot Chart Detail","0021500290","90","203512","Lucas Nogueira","1610612761","Toronto Raptors","1","2","55","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-9","16","1","1","20151205","TOR","GSW"
