"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020500038","112","101129","Luther Head","1610612745","Houston Rockets","2","10","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","192","164","1","0","20051105","HOU","NOK"
"Shot Chart Detail","0020500038","140","101129","Luther Head","1610612745","Houston Rockets","2","7","7","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","235","22","1","0","20051105","HOU","NOK"
"Shot Chart Detail","0020500038","172","101129","Luther Head","1610612745","Houston Rockets","2","5","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051105","HOU","NOK"
"Shot Chart Detail","0020500038","373","101129","Luther Head","1610612745","Houston Rockets","4","10","4","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","215","115","1","1","20051105","HOU","NOK"
"Shot Chart Detail","0020500054","142","101129","Luther Head","1610612745","Houston Rockets","2","6","34","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051108","HOU","ORL"
"Shot Chart Detail","0020500054","342","101129","Luther Head","1610612745","Houston Rockets","4","8","34","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","123","163","1","0","20051108","HOU","ORL"
"Shot Chart Detail","0020500054","357","101129","Luther Head","1610612745","Houston Rockets","4","6","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-141","199","1","0","20051108","HOU","ORL"
"Shot Chart Detail","0020500054","427","101129","Luther Head","1610612745","Houston Rockets","4","0","0","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-230","-9","1","1","20051108","HOU","ORL"
"Shot Chart Detail","0020500069","117","101129","Luther Head","1610612745","Houston Rockets","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","55","158","531","1","0","20051110","MIA","HOU"
"Shot Chart Detail","0020500069","128","101129","Luther Head","1610612745","Houston Rockets","2","10","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-195","74","1","0","20051110","MIA","HOU"
"Shot Chart Detail","0020500069","151","101129","Luther Head","1610612745","Houston Rockets","2","8","58","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20051110","MIA","HOU"
