"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600012","539","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","1","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","94","159","1","0","20161026","PHX","SAC"
"Shot Chart Detail","0021600085","483","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","3","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","94","237","1","0","20161105","MIL","SAC"
"Shot Chart Detail","0021600085","504","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","2","10","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","0","1","1","20161105","MIL","SAC"
"Shot Chart Detail","0021600085","513","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","1","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-243","101","1","0","20161105","MIL","SAC"
"Shot Chart Detail","0021600266","128","1627781","Malachi Richardson","1610612758","Sacramento Kings","2","9","30","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-1","1","0","20170130","PHI","SAC"
"Shot Chart Detail","0021600380","404","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","8","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","94","188","1","0","20161214","HOU","SAC"
"Shot Chart Detail","0021600380","458","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","4","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","228","106","1","0","20161214","HOU","SAC"
"Shot Chart Detail","0021600380","466","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","3","35","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-1","193","1","1","20161214","HOU","SAC"
"Shot Chart Detail","0021600380","483","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","2","2","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","202","169","1","1","20161214","HOU","SAC"
"Shot Chart Detail","0021600380","504","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","0","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","218","121","1","0","20161214","HOU","SAC"
"Shot Chart Detail","0021600502","355","1627781","Malachi Richardson","1610612758","Sacramento Kings","3","0","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","141","208","1","0","20161231","SAC","MEM"
"Shot Chart Detail","0021600502","457","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","2","46","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-142","70","1","1","20161231","SAC","MEM"
"Shot Chart Detail","0021600502","477","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","1","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","141","210","1","1","20161231","SAC","MEM"
"Shot Chart Detail","0021600502","482","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","34","-178","293","1","0","20161231","SAC","MEM"
"Shot Chart Detail","0021600644","521","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","1","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","173","195","1","0","20170120","MEM","SAC"
"Shot Chart Detail","0021600660","134","1627781","Malachi Richardson","1610612758","Sacramento Kings","2","9","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","112","144","1","1","20170121","CHI","SAC"
"Shot Chart Detail","0021600660","165","1627781","Malachi Richardson","1610612758","Sacramento Kings","2","7","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-205","170","1","0","20170121","CHI","SAC"
"Shot Chart Detail","0021600669","119","1627781","Malachi Richardson","1610612758","Sacramento Kings","2","10","22","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","7","1","1","20170123","DET","SAC"
"Shot Chart Detail","0021600669","138","1627781","Malachi Richardson","1610612758","Sacramento Kings","2","8","27","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","55","23","1","0","20170123","DET","SAC"
"Shot Chart Detail","0021600669","388","1627781","Malachi Richardson","1610612758","Sacramento Kings","4","11","29","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","45","90","1","0","20170123","DET","SAC"
