"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600008","115","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","1","0","39","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-6","7","1","1","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","117","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","1","0","2","Made Shot","Driving Floating Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-97","120","1","1","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","122","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","2","11","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","50","247","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","175","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","2","7","36","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","2","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","186","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","2","6","39","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","238","26","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","394","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","3","0","46","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","78","3","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","435","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","4","9","27","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","16","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","451","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","4","8","33","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20161026","MIL","CHA"
"Shot Chart Detail","0021600008","474","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","4","5","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","78","247","1","0","20161026","MIL","CHA"
"Shot Chart Detail","0021600031","87","1627763","Malcolm Brogdon","1610612749","Milwaukee Bucks","1","3","26","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","2","1","0","20161029","MIL","BKN"
