"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021700454","596","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","3","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-98","251","1","0","20171220","CHA","TOR"
"Shot Chart Detail","0021700454","616","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","2","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","16","1","0","20171220","CHA","TOR"
"Shot Chart Detail","0021700615","599","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","5","30","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-227","59","1","1","20180111","TOR","CLE"
"Shot Chart Detail","0021700615","624","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","3","18","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20180111","TOR","CLE"
"Shot Chart Detail","0021700615","635","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","2","3","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","212","134","1","1","20180111","TOR","CLE"
"Shot Chart Detail","0021700901","581","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","5","23","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","-2","1","0","20180226","TOR","DET"
"Shot Chart Detail","0021700901","636","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","1","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-134","208","1","0","20180226","TOR","DET"
"Shot Chart Detail","0021700929","217","1626259","Malcolm Miller","1610612761","Toronto Raptors","2","7","50","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-237","113","1","1","20180302","WAS","TOR"
"Shot Chart Detail","0021700944","33","1626259","Malcolm Miller","1610612761","Toronto Raptors","1","8","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","63","253","1","0","20180304","TOR","CHA"
"Shot Chart Detail","0021700944","38","1626259","Malcolm Miller","1610612761","Toronto Raptors","1","7","45","Missed Shot","Running Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","25","1","0","20180304","TOR","CHA"
"Shot Chart Detail","0021700958","13","1626259","Malcolm Miller","1610612761","Toronto Raptors","1","11","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","98","227","1","0","20180306","TOR","ATL"
"Shot Chart Detail","0021700958","48","1626259","Malcolm Miller","1610612761","Toronto Raptors","1","7","5","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","-15","1","1","20180306","TOR","ATL"
"Shot Chart Detail","0021700958","428","1626259","Malcolm Miller","1610612761","Toronto Raptors","3","6","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-182","183","1","0","20180306","TOR","ATL"
"Shot Chart Detail","0021700966","513","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","8","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-165","221","1","0","20180307","DET","TOR"
"Shot Chart Detail","0021700966","517","1626259","Malcolm Miller","1610612761","Toronto Raptors","4","7","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-1","1","1","20180307","DET","TOR"
