"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021600082","516","1627736","Malik Beasley","1610612743","Denver Nuggets","4","3","15","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","9","1","0","20161105","DET","DEN"
"Shot Chart Detail","0021600082","532","1627736","Malik Beasley","1610612743","Denver Nuggets","4","1","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-155","85","1","0","20161105","DET","DEN"
"Shot Chart Detail","0021600091","542","1627736","Malik Beasley","1610612743","Denver Nuggets","4","0","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","13","1","0","20161106","BOS","DEN"
"Shot Chart Detail","0021600119","397","1627736","Malik Beasley","1610612743","Denver Nuggets","3","1","34","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-240","47","1","1","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","404","1627736","Malik Beasley","1610612743","Denver Nuggets","3","0","38","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","8","1","1","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","422","1627736","Malik Beasley","1610612743","Denver Nuggets","4","11","14","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","8","1","1","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","425","1627736","Malik Beasley","1610612743","Denver Nuggets","4","10","45","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","19","2","1","0","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","429","1627736","Malik Beasley","1610612743","Denver Nuggets","4","10","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","181","120","1","1","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","434","1627736","Malik Beasley","1610612743","Denver Nuggets","4","9","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","189","193","1","0","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","466","1627736","Malik Beasley","1610612743","Denver Nuggets","4","7","8","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","2","1","1","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","497","1627736","Malik Beasley","1610612743","Denver Nuggets","4","3","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","199","169","1","0","20161110","DEN","GSW"
"Shot Chart Detail","0021600119","504","1627736","Malik Beasley","1610612743","Denver Nuggets","4","2","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","182","178","1","0","20161110","DEN","GSW"
