"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020200003","119","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","0","58","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","110","227","1","1","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","125","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","0","0","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","225","35","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","133","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","11","27","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","410","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","11","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-169","184","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","439","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","9","7","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","452","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","7","29","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","125","214","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","458","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","6","53","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","97","13","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","488","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","4","21","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021029","LAL","SAS"
"Shot Chart Detail","0020200003","531","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","1","5","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021029","LAL","SAS"
"Shot Chart Detail","0020200017","67","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","3","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","131","217","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","183","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","3","56","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","188","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","3","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-146","-3","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","230","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","11","40","Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","18","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","236","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","10","35","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","28","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","244","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","9","34","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-151","207","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","248","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","9","17","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","288","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","4","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-158","206","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","397","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","5","8","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-158","206","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","416","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","3","15","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-9","1","1","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","428","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","1","42","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","430","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","1","19","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021030","GSW","SAS"
"Shot Chart Detail","0020200017","472","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","0","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","31","41","1","0","20021030","GSW","SAS"
"Shot Chart Detail","0020200026","4","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","11","32","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","3","23","1","0","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","65","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","5","22","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","18","1","0","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","224","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","1","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","77","253","1","0","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","236","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","0","20","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","8","1","1","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","247","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","11","21","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-15","10","1","1","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","282","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","8","16","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","17","1","1","20021101","SAS","TOR"
"Shot Chart Detail","0020200026","285","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","7","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","148","192","1","0","20021101","SAS","TOR"
"Shot Chart Detail","0020200049","173","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","7","21","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","MEM","SAS"
"Shot Chart Detail","0020200049","285","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","8","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","148","206","1","1","20021104","MEM","SAS"
"Shot Chart Detail","0020200049","298","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","7","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","159","38","1","0","20021104","MEM","SAS"
"Shot Chart Detail","0020200049","439","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","4","34","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021104","MEM","SAS"
"Shot Chart Detail","0020200049","452","1938","Manu Ginobili","1610612759","San Antonio Spurs","4","3","2","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021104","MEM","SAS"
"Shot Chart Detail","0020200057","177","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","6","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","103","135","1","0","20021105","SAS","GSW"
"Shot Chart Detail","0020200057","191","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","4","53","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","0","22","1","1","20021105","SAS","GSW"
"Shot Chart Detail","0020200057","222","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","1","48","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","1","23","1","0","20021105","SAS","GSW"
"Shot Chart Detail","0020200057","231","1938","Manu Ginobili","1610612759","San Antonio Spurs","2","0","50","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-6","72","1","0","20021105","SAS","GSW"
"Shot Chart Detail","0020200057","257","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","9","18","Missed Shot","Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","31","22","1","0","20021105","SAS","GSW"
"Shot Chart Detail","0020200057","278","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","7","24","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","225","109","1","1","20021105","SAS","GSW"
"Shot Chart Detail","0020200090","9","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","10","44","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-97","217","1","0","20021109","SAS","POR"
"Shot Chart Detail","0020200090","31","1938","Manu Ginobili","1610612759","San Antonio Spurs","1","8","14","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-135","0","1","0","20021109","SAS","POR"
"Shot Chart Detail","0020200090","231","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","9","49","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-33","248","1","1","20021109","SAS","POR"
"Shot Chart Detail","0020200090","234","1938","Manu Ginobili","1610612759","San Antonio Spurs","3","9","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-176","168","1","0","20021109","SAS","POR"
