"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800012","14","201188","Marc Gasol","1610612763","Memphis Grizzlies","1","10","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-4","77","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","185","201188","Marc Gasol","1610612763","Memphis Grizzlies","2","3","23","Missed Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-27","82","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","196","201188","Marc Gasol","1610612763","Memphis Grizzlies","2","2","49","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","210","201188","Marc Gasol","1610612763","Memphis Grizzlies","2","1","27","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","125","168","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","245","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","9","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-111","184","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","253","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","8","33","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","105","66","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","266","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","7","11","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","291","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","4","32","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","298","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","3","17","Missed Shot","Turnaround Hook Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-90","45","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","322","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","1","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","2","206","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","328","201188","Marc Gasol","1610612763","Memphis Grizzlies","3","0","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","2","197","1","1","20081029","HOU","MEM"
"Shot Chart Detail","0020800012","423","201188","Marc Gasol","1610612763","Memphis Grizzlies","4","4","1","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-21","83","1","0","20081029","HOU","MEM"
"Shot Chart Detail","0020800023","16","201188","Marc Gasol","1610612763","Memphis Grizzlies","1","9","41","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","26","1","1","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","19","201188","Marc Gasol","1610612763","Memphis Grizzlies","1","9","18","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","20","69","189","1","0","20081031","MEM","ORL"
"Shot Chart Detail","0020800023","41","201188","Marc Gasol","1610612763","Memphis Grizzlies","1","7","6","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-37","80","1","0","20081031","MEM","ORL"
