"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400006","157","203935","Marcus Smart","1610612738","Boston Celtics","2","9","35","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","191","203935","Marcus Smart","1610612738","Boston Celtics","2","6","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","72","239","1","0","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","208","203935","Marcus Smart","1610612738","Boston Celtics","2","4","16","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-2","1","0","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","387","203935","Marcus Smart","1610612738","Boston Celtics","3","0","52","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-198","138","1","1","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","449","203935","Marcus Smart","1610612738","Boston Celtics","4","8","6","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","-10","1","1","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","465","203935","Marcus Smart","1610612738","Boston Celtics","4","7","3","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","33","1","0","20141029","BOS","BKN"
"Shot Chart Detail","0021400006","543","203935","Marcus Smart","1610612738","Boston Celtics","4","1","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","149","205","1","0","20141029","BOS","BKN"
"Shot Chart Detail","0021400034","66","203935","Marcus Smart","1610612738","Boston Celtics","1","5","22","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","11","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","229","203935","Marcus Smart","1610612738","Boston Celtics","2","4","49","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-185","187","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","231","203935","Marcus Smart","1610612738","Boston Celtics","2","4","44","Missed Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","238","203935","Marcus Smart","1610612738","Boston Celtics","2","4","25","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","3","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","452","203935","Marcus Smart","1610612738","Boston Celtics","3","0","0","Missed Shot","Running Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","53","72","526","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","592","203935","Marcus Smart","1610612738","Boston Celtics","4","1","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-64","252","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400034","604","203935","Marcus Smart","1610612738","Boston Celtics","4","0","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-209","140","1","0","20141101","HOU","BOS"
"Shot Chart Detail","0021400046","59","203935","Marcus Smart","1610612738","Boston Celtics","1","5","33","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","0","1","1","20141103","DAL","BOS"
"Shot Chart Detail","0021400046","75","203935","Marcus Smart","1610612738","Boston Celtics","1","4","4","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","61","238","1","0","20141103","DAL","BOS"
"Shot Chart Detail","0021400046","174","203935","Marcus Smart","1610612738","Boston Celtics","2","6","10","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","59","238","1","0","20141103","DAL","BOS"
"Shot Chart Detail","0021400046","469","203935","Marcus Smart","1610612738","Boston Celtics","4","5","48","Made Shot","Fadeaway Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","40","12","1","1","20141103","DAL","BOS"
"Shot Chart Detail","0021400046","477","203935","Marcus Smart","1610612738","Boston Celtics","4","4","57","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","138","219","1","0","20141103","DAL","BOS"
