"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400191","444","203900","Markel Brown","1610612751","Brooklyn Nets","4","1","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","15","-142","50","1","0","20141122","SAS","BKN"
"Shot Chart Detail","0021400191","456","203900","Markel Brown","1610612751","Brooklyn Nets","4","0","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-232","102","1","1","20141122","SAS","BKN"
"Shot Chart Detail","0021400280","94","203900","Markel Brown","1610612751","Brooklyn Nets","1","1","22","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-228","83","1","0","20141205","BKN","ATL"
"Shot Chart Detail","0021400280","118","203900","Markel Brown","1610612751","Brooklyn Nets","2","9","58","Missed Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","20","7","1","0","20141205","BKN","ATL"
"Shot Chart Detail","0021400280","433","203900","Markel Brown","1610612751","Brooklyn Nets","4","6","56","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","118","214","1","0","20141205","BKN","ATL"
"Shot Chart Detail","0021400280","493","203900","Markel Brown","1610612751","Brooklyn Nets","4","1","47","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","53","179","1","1","20141205","BKN","ATL"
"Shot Chart Detail","0021400303","435","203900","Markel Brown","1610612751","Brooklyn Nets","4","6","35","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-23","3","1","0","20141208","BKN","CLE"
"Shot Chart Detail","0021400303","469","203900","Markel Brown","1610612751","Brooklyn Nets","4","3","46","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-64","44","1","0","20141208","BKN","CLE"
"Shot Chart Detail","0021400303","492","203900","Markel Brown","1610612751","Brooklyn Nets","4","0","57","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-106","148","1","1","20141208","BKN","CLE"
"Shot Chart Detail","0021400320","543","203900","Markel Brown","1610612751","Brooklyn Nets","4","4","20","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","171","66","1","0","20141210","CHI","BKN"
"Shot Chart Detail","0021400320","548","203900","Markel Brown","1610612751","Brooklyn Nets","4","3","26","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-21","12","1","0","20141210","CHI","BKN"
"Shot Chart Detail","0021400320","575","203900","Markel Brown","1610612751","Brooklyn Nets","4","1","23","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","17","1","1","20141210","CHI","BKN"
"Shot Chart Detail","0021400576","491","203900","Markel Brown","1610612751","Brooklyn Nets","4","0","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","125","227","1","0","20150114","BKN","MEM"
