"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021100014","93","202693","Markieff Morris","1610612756","Phoenix Suns","1","3","2","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","130","77","1","0","20111226","PHX","NOH"
"Shot Chart Detail","0021100014","136","202693","Markieff Morris","1610612756","Phoenix Suns","2","11","26","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-218","135","1","0","20111226","PHX","NOH"
"Shot Chart Detail","0021100014","177","202693","Markieff Morris","1610612756","Phoenix Suns","2","7","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-2","269","1","0","20111226","PHX","NOH"
"Shot Chart Detail","0021100014","405","202693","Markieff Morris","1610612756","Phoenix Suns","4","11","12","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-163","195","1","1","20111226","PHX","NOH"
"Shot Chart Detail","0021100014","454","202693","Markieff Morris","1610612756","Phoenix Suns","4","6","27","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","95","148","1","1","20111226","PHX","NOH"
"Shot Chart Detail","0021100031","255","202693","Markieff Morris","1610612756","Phoenix Suns","2","0","39","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","9","48","1","1","20111228","PHX","PHI"
"Shot Chart Detail","0021100031","361","202693","Markieff Morris","1610612756","Phoenix Suns","3","1","40","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-15","249","1","1","20111228","PHX","PHI"
"Shot Chart Detail","0021100031","401","202693","Markieff Morris","1610612756","Phoenix Suns","4","9","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","29","7","1","1","20111228","PHX","PHI"
"Shot Chart Detail","0021100031","416","202693","Markieff Morris","1610612756","Phoenix Suns","4","7","30","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","6","26","1","1","20111228","PHX","PHI"
"Shot Chart Detail","0021100031","489","202693","Markieff Morris","1610612756","Phoenix Suns","4","0","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","0","244","1","0","20111228","PHX","PHI"
"Shot Chart Detail","0021100053","114","202693","Markieff Morris","1610612756","Phoenix Suns","1","0","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-134","201","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","119","202693","Markieff Morris","1610612756","Phoenix Suns","2","11","51","Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","24","0","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","382","202693","Markieff Morris","1610612756","Phoenix Suns","4","10","51","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","73","231","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","408","202693","Markieff Morris","1610612756","Phoenix Suns","4","8","36","Made Shot","Turnaround Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","24","33","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","423","202693","Markieff Morris","1610612756","Phoenix Suns","4","7","1","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","94","7","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","450","202693","Markieff Morris","1610612756","Phoenix Suns","4","5","27","Made Shot","Jump Bank Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","160","205","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","470","202693","Markieff Morris","1610612756","Phoenix Suns","4","3","25","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-7","129","1","0","20111231","OKC","PHX"
"Shot Chart Detail","0021100053","504","202693","Markieff Morris","1610612756","Phoenix Suns","4","0","40","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","4","246","1","1","20111231","OKC","PHX"
"Shot Chart Detail","0021100066","157","202693","Markieff Morris","1610612756","Phoenix Suns","2","10","13","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","69","75","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","161","202693","Markieff Morris","1610612756","Phoenix Suns","2","9","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","78","236","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","170","202693","Markieff Morris","1610612756","Phoenix Suns","2","8","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","75","162","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","176","202693","Markieff Morris","1610612756","Phoenix Suns","2","7","35","Made Shot","Jump Bank Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-49","7","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","183","202693","Markieff Morris","1610612756","Phoenix Suns","2","7","3","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-166","12","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","235","202693","Markieff Morris","1610612756","Phoenix Suns","2","2","55","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-48","50","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","248","202693","Markieff Morris","1610612756","Phoenix Suns","2","2","24","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","11","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","258","202693","Markieff Morris","1610612756","Phoenix Suns","2","0","41","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","1","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","266","202693","Markieff Morris","1610612756","Phoenix Suns","2","0","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-177","181","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","345","202693","Markieff Morris","1610612756","Phoenix Suns","3","4","59","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","-2","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","347","202693","Markieff Morris","1610612756","Phoenix Suns","3","4","26","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","187","190","1","1","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","365","202693","Markieff Morris","1610612756","Phoenix Suns","3","1","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-199","66","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100066","387","202693","Markieff Morris","1610612756","Phoenix Suns","3","0","1","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","9","1","0","20120102","PHX","GSW"
"Shot Chart Detail","0021100090","348","202693","Markieff Morris","1610612756","Phoenix Suns","3","6","29","Made Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","92","64","1","1","20120104","DAL","PHX"
"Shot Chart Detail","0021100090","351","202693","Markieff Morris","1610612756","Phoenix Suns","3","6","2","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20120104","DAL","PHX"
"Shot Chart Detail","0021100090","382","202693","Markieff Morris","1610612756","Phoenix Suns","3","2","50","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","53","170","1","0","20120104","DAL","PHX"
"Shot Chart Detail","0021100090","446","202693","Markieff Morris","1610612756","Phoenix Suns","4","9","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","135","206","1","0","20120104","DAL","PHX"
"Shot Chart Detail","0021100108","103","202693","Markieff Morris","1610612756","Phoenix Suns","1","1","35","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","118","153","1","0","20120106","PHX","POR"
"Shot Chart Detail","0021100108","118","202693","Markieff Morris","1610612756","Phoenix Suns","1","0","56","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","14","1","0","20120106","PHX","POR"
