"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020600036","424","200772","Maurice Ager","1610612742","Dallas Mavericks","4","5","42","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-120","140","1","0","20061104","HOU","DAL"
"Shot Chart Detail","0020600067","473","200772","Maurice Ager","1610612742","Dallas Mavericks","4","0","35","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061108","LAC","DAL"
"Shot Chart Detail","0020600095","64","200772","Maurice Ager","1610612742","Dallas Mavericks","1","3","44","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-8","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600095","72","200772","Maurice Ager","1610612742","Dallas Mavericks","1","2","58","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061112","POR","DAL"
"Shot Chart Detail","0020600105","80","200772","Maurice Ager","1610612742","Dallas Mavericks","1","1","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","166","36","1","0","20061114","DAL","CHI"
"Shot Chart Detail","0020600137","117","200772","Maurice Ager","1610612742","Dallas Mavericks","1","1","35","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-52","31","1","1","20061118","DAL","MEM"
"Shot Chart Detail","0020600137","120","200772","Maurice Ager","1610612742","Dallas Mavericks","1","1","5","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-200","-16","1","1","20061118","DAL","MEM"
"Shot Chart Detail","0020600137","122","200772","Maurice Ager","1610612742","Dallas Mavericks","1","0","25","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-105","214","1","0","20061118","DAL","MEM"
"Shot Chart Detail","0020600137","256","200772","Maurice Ager","1610612742","Dallas Mavericks","2","1","11","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","5","66","1","0","20061118","DAL","MEM"
"Shot Chart Detail","0020600137","260","200772","Maurice Ager","1610612742","Dallas Mavericks","2","0","43","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061118","DAL","MEM"
"Shot Chart Detail","0020600144","218","200772","Maurice Ager","1610612742","Dallas Mavericks","2","3","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","138","173","1","1","20061120","CHA","DAL"
"Shot Chart Detail","0020600144","232","200772","Maurice Ager","1610612742","Dallas Mavericks","2","2","46","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20061120","CHA","DAL"
