"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020100375","414","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","1","26","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20011222","CHI","MIN"
"Shot Chart Detail","0020100412","460","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","49","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-96","-2","1","0","20011228","SAC","MIN"
"Shot Chart Detail","0020100412","465","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","29","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","7","55","1","1","20011228","SAC","MIN"
"Shot Chart Detail","0020100532","458","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","32","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020115","MIN","LAC"
"Shot Chart Detail","0020100592","475","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","220","137","1","0","20020123","DET","MIN"
"Shot Chart Detail","0020100605","341","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","11","12","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-225","4","1","0","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","403","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","5","29","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","432","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","2","57","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","476","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","1","24","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","486","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","1","0","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","9","70","59","1","0","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","488","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","58","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020125","TOR","MIN"
"Shot Chart Detail","0020100605","493","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","39","Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-103","42","1","1","20020125","TOR","MIN"
"Shot Chart Detail","0020100617","364","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","6","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","64","55","1","0","20020126","MIN","ATL"
"Shot Chart Detail","0020100617","408","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","3","1","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020126","MIN","ATL"
"Shot Chart Detail","0020100617","447","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","0","17","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20020126","MIN","ATL"
"Shot Chart Detail","0020100626","357","2230","Maurice Evans","1610612750","Minnesota Timberwolves","3","2","42","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","-4","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020100626","456","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","5","22","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","108","34","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020100626","474","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","3","46","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","16","47","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020100626","498","2230","Maurice Evans","1610612750","Minnesota Timberwolves","4","2","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","191","173","1","0","20020129","CLE","MIN"
"Shot Chart Detail","0020400002","6","2230","Maurice Evans","1610612758","Sacramento Kings","1","11","17","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-69","7","1","0","20041102","DAL","SAC"
