"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020200023","373","2246","Mehmet Okur","1610612765","Detroit Pistons","4","6","51","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021101","DET","MEM"
"Shot Chart Detail","0020200023","375","2246","Mehmet Okur","1610612765","Detroit Pistons","4","6","12","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021101","DET","MEM"
"Shot Chart Detail","0020200023","405","2246","Mehmet Okur","1610612765","Detroit Pistons","4","3","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-148","13","1","0","20021101","DET","MEM"
"Shot Chart Detail","0020200023","435","2246","Mehmet Okur","1610612765","Detroit Pistons","4","0","24","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","28","-176","220","1","0","20021101","DET","MEM"
"Shot Chart Detail","0020200051","123","2246","Mehmet Okur","1610612765","Detroit Pistons","2","10","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","24","-67","237","1","1","20021104","PHX","DET"
"Shot Chart Detail","0020200051","126","2246","Mehmet Okur","1610612765","Detroit Pistons","2","10","13","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","95","76","1","0","20021104","PHX","DET"
"Shot Chart Detail","0020200051","141","2246","Mehmet Okur","1610612765","Detroit Pistons","2","8","50","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","167","13","1","1","20021104","PHX","DET"
"Shot Chart Detail","0020200051","153","2246","Mehmet Okur","1610612765","Detroit Pistons","2","7","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20021104","PHX","DET"
"Shot Chart Detail","0020200051","168","2246","Mehmet Okur","1610612765","Detroit Pistons","2","6","38","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","22","-72","214","1","1","20021104","PHX","DET"
"Shot Chart Detail","0020200051","189","2246","Mehmet Okur","1610612765","Detroit Pistons","2","3","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","23","-36","235","1","0","20021104","PHX","DET"
"Shot Chart Detail","0020200065","104","2246","Mehmet Okur","1610612765","Detroit Pistons","1","0","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","167","176","1","0","20021106","UTA","DET"
"Shot Chart Detail","0020200065","133","2246","Mehmet Okur","1610612765","Detroit Pistons","2","10","11","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","49","22","1","0","20021106","UTA","DET"
"Shot Chart Detail","0020200065","160","2246","Mehmet Okur","1610612765","Detroit Pistons","2","6","50","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021106","UTA","DET"
"Shot Chart Detail","0020200065","211","2246","Mehmet Okur","1610612765","Detroit Pistons","2","0","48","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","18","-159","104","1","1","20021106","UTA","DET"
"Shot Chart Detail","0020200065","344","2246","Mehmet Okur","1610612765","Detroit Pistons","4","10","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","98","227","1","0","20021106","UTA","DET"
"Shot Chart Detail","0020200065","347","2246","Mehmet Okur","1610612765","Detroit Pistons","4","9","52","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","3","54","1","0","20021106","UTA","DET"
"Shot Chart Detail","0020200065","379","2246","Mehmet Okur","1610612765","Detroit Pistons","4","6","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","21","128","173","1","0","20021106","UTA","DET"
"Shot Chart Detail","0020200071","149","2246","Mehmet Okur","1610612765","Detroit Pistons","2","7","54","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","184","176","1","0","20021107","DEN","DET"
"Shot Chart Detail","0020200071","195","2246","Mehmet Okur","1610612765","Detroit Pistons","2","4","29","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021107","DEN","DET"
"Shot Chart Detail","0020200071","334","2246","Mehmet Okur","1610612765","Detroit Pistons","3","0","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20021107","DEN","DET"
"Shot Chart Detail","0020200071","345","2246","Mehmet Okur","1610612765","Detroit Pistons","4","11","23","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","16","156","56","1","0","20021107","DEN","DET"
"Shot Chart Detail","0020200088","143","2246","Mehmet Okur","1610612765","Detroit Pistons","2","10","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","23","-112","210","1","1","20021109","DAL","DET"
