"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020800007","3","201563","Michael Beasley","1610612748","Miami Heat","1","11","46","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","22","201563","Michael Beasley","1610612748","Miami Heat","1","9","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","129","213","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","45","201563","Michael Beasley","1610612748","Miami Heat","1","6","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","110","216","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","55","201563","Michael Beasley","1610612748","Miami Heat","1","6","17","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","137","201563","Michael Beasley","1610612748","Miami Heat","2","11","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","169","201563","Michael Beasley","1610612748","Miami Heat","2","8","54","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","200","201563","Michael Beasley","1610612748","Miami Heat","2","6","7","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","252","201563","Michael Beasley","1610612748","Miami Heat","2","1","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","21","-158","140","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","298","201563","Michael Beasley","1610612748","Miami Heat","3","11","30","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","331","201563","Michael Beasley","1610612748","Miami Heat","3","8","21","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","184","179","1","1","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","337","201563","Michael Beasley","1610612748","Miami Heat","3","7","18","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","441","201563","Michael Beasley","1610612748","Miami Heat","4","10","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","135","201","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","447","201563","Michael Beasley","1610612748","Miami Heat","4","10","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","2","254","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800007","454","201563","Michael Beasley","1610612748","Miami Heat","4","9","34","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-68","-11","1","0","20081029","NYK","MIA"
"Shot Chart Detail","0020800021","6","201563","Michael Beasley","1610612748","Miami Heat","1","11","12","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","151","126","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","13","201563","Michael Beasley","1610612748","Miami Heat","1","10","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","42","201563","Michael Beasley","1610612748","Miami Heat","1","8","32","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","135","138","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","59","201563","Michael Beasley","1610612748","Miami Heat","1","6","16","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","110","143","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","143","201563","Michael Beasley","1610612748","Miami Heat","2","10","52","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","111","63","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","169","201563","Michael Beasley","1610612748","Miami Heat","2","7","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","94","20","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","269","201563","Michael Beasley","1610612748","Miami Heat","3","11","30","Missed Shot","Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","279","201563","Michael Beasley","1610612748","Miami Heat","3","10","0","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","23","39","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","281","201563","Michael Beasley","1610612748","Miami Heat","3","9","57","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","32","36","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","322","201563","Michael Beasley","1610612748","Miami Heat","3","6","59","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-139","33","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","335","201563","Michael Beasley","1610612748","Miami Heat","3","6","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-90","138","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","428","201563","Michael Beasley","1610612748","Miami Heat","4","10","49","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","80","143","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","446","201563","Michael Beasley","1610612748","Miami Heat","4","8","51","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","448","201563","Michael Beasley","1610612748","Miami Heat","4","8","25","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-62","60","1","1","20081031","MIA","SAC"
"Shot Chart Detail","0020800021","466","201563","Michael Beasley","1610612748","Miami Heat","4","6","12","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-232","85","1","0","20081031","MIA","SAC"
"Shot Chart Detail","0020800027","36","201563","Michael Beasley","1610612748","Miami Heat","1","5","57","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","19","163","105","1","1","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","46","201563","Michael Beasley","1610612748","Miami Heat","1","4","29","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-201","17","1","1","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","153","201563","Michael Beasley","1610612748","Miami Heat","2","7","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","21","12","213","1","0","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","170","201563","Michael Beasley","1610612748","Miami Heat","2","5","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","103","146","1","1","20081101","CHA","MIA"
"Shot Chart Detail","0020800027","179","201563","Michael Beasley","1610612748","Miami Heat","2","5","1","Made Shot","Running Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","54","25","1","1","20081101","CHA","MIA"
