"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021900566","585","1626187","Michael Frazier","1610612745","Houston Rockets","4","2","48","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","45","1","1","20200109","OKC","HOU"
"Shot Chart Detail","0021900566","590","1626187","Michael Frazier","1610612745","Houston Rockets","4","2","17","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","159","194","1","0","20200109","OKC","HOU"
"Shot Chart Detail","0021900577","659","1626187","Michael Frazier","1610612745","Houston Rockets","4","6","52","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","8","3","1","1","20200111","HOU","MIN"
"Shot Chart Detail","0021900577","701","1626187","Michael Frazier","1610612745","Houston Rockets","4","2","58","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","229","59","1","0","20200111","HOU","MIN"
"Shot Chart Detail","0021900577","732","1626187","Michael Frazier","1610612745","Houston Rockets","4","0","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","116","250","1","0","20200111","HOU","MIN"
"Shot Chart Detail","0021900662","606","1626187","Michael Frazier","1610612745","Houston Rockets","4","4","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","136","209","1","0","20200122","HOU","DEN"
"Shot Chart Detail","0021900698","557","1626187","Michael Frazier","1610612745","Houston Rockets","4","8","41","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","120","217","1","1","20200127","UTA","HOU"
"Shot Chart Detail","0021900698","565","1626187","Michael Frazier","1610612745","Houston Rockets","4","8","2","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-92","237","1","0","20200127","UTA","HOU"
"Shot Chart Detail","0021900698","575","1626187","Michael Frazier","1610612745","Houston Rockets","4","7","13","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","24","23","1","0","20200127","UTA","HOU"
"Shot Chart Detail","0021900825","598","1626187","Michael Frazier","1610612745","Houston Rockets","4","4","11","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-149","211","1","0","20200220","GSW","HOU"
"Shot Chart Detail","0021900825","635","1626187","Michael Frazier","1610612745","Houston Rockets","4","1","4","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","5","1","1","20200220","GSW","HOU"
