"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000003","202","2034","Mike Miller","1610612753","Orlando Magic","2","5","32","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","89","234","1","1","20001031","ORL","WAS"
"Shot Chart Detail","0020000003","213","2034","Mike Miller","1610612753","Orlando Magic","2","5","8","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","ORL","WAS"
"Shot Chart Detail","0020000003","230","2034","Mike Miller","1610612753","Orlando Magic","2","3","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","16","-136","97","1","0","20001031","ORL","WAS"
"Shot Chart Detail","0020000003","261","2034","Mike Miller","1610612753","Orlando Magic","2","1","20","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","197","158","1","0","20001031","ORL","WAS"
"Shot Chart Detail","0020000016","2","2034","Mike Miller","1610612753","Orlando Magic","1","11","43","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-136","209","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","63","2034","Mike Miller","1610612753","Orlando Magic","1","4","46","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","18","177","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","259","2034","Mike Miller","1610612753","Orlando Magic","3","10","47","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","274","2034","Mike Miller","1610612753","Orlando Magic","3","9","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-136","209","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","320","2034","Mike Miller","1610612753","Orlando Magic","3","4","26","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","395","2034","Mike Miller","1610612753","Orlando Magic","4","10","9","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","24","61","1","1","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","412","2034","Mike Miller","1610612753","Orlando Magic","4","8","56","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","205","61","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000016","434","2034","Mike Miller","1610612753","Orlando Magic","4","7","32","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-202","7","1","0","20001101","MIA","ORL"
"Shot Chart Detail","0020000030","161","2034","Mike Miller","1610612753","Orlando Magic","2","11","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","153","200","1","0","20001103","ORL","PHI"
"Shot Chart Detail","0020000030","170","2034","Mike Miller","1610612753","Orlando Magic","2","10","42","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001103","ORL","PHI"
"Shot Chart Detail","0020000036","5","2034","Mike Miller","1610612753","Orlando Magic","1","11","10","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","15","2034","Mike Miller","1610612753","Orlando Magic","1","10","11","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","21","2034","Mike Miller","1610612753","Orlando Magic","1","9","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-178","179","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","46","2034","Mike Miller","1610612753","Orlando Magic","1","6","25","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","60","2034","Mike Miller","1610612753","Orlando Magic","1","5","30","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","73","2034","Mike Miller","1610612753","Orlando Magic","1","5","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","146","207","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","77","2034","Mike Miller","1610612753","Orlando Magic","1","4","37","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","161","200","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","167","2034","Mike Miller","1610612753","Orlando Magic","2","8","42","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-8","42","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","236","2034","Mike Miller","1610612753","Orlando Magic","2","3","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","153","4","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","297","2034","Mike Miller","1610612753","Orlando Magic","3","10","20","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-238","9","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","323","2034","Mike Miller","1610612753","Orlando Magic","3","7","47","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","226","114","1","0","20001104","ATL","ORL"
"Shot Chart Detail","0020000036","334","2034","Mike Miller","1610612753","Orlando Magic","3","6","11","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","98","148","1","1","20001104","ATL","ORL"
"Shot Chart Detail","0020000050","5","2034","Mike Miller","1610612753","Orlando Magic","1","11","17","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","-1","118","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","25","2034","Mike Miller","1610612753","Orlando Magic","1","9","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","16","62","158","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","29","2034","Mike Miller","1610612753","Orlando Magic","1","8","40","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","110","224","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","310","2034","Mike Miller","1610612753","Orlando Magic","3","9","37","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-229","-23","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","342","2034","Mike Miller","1610612753","Orlando Magic","3","6","12","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","25","-238","87","1","1","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","371","2034","Mike Miller","1610612753","Orlando Magic","3","3","34","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","125","-6","1","1","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","376","2034","Mike Miller","1610612753","Orlando Magic","3","3","6","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-193","169","1","1","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","381","2034","Mike Miller","1610612753","Orlando Magic","3","2","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","125","219","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000050","397","2034","Mike Miller","1610612753","Orlando Magic","3","0","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","182","169","1","0","20001106","ORL","SEA"
"Shot Chart Detail","0020000064","22","2034","Mike Miller","1610612753","Orlando Magic","1","9","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-130","101","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","29","2034","Mike Miller","1610612753","Orlando Magic","1","8","23","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","36","2034","Mike Miller","1610612753","Orlando Magic","1","7","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","191","169","1","1","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","41","2034","Mike Miller","1610612753","Orlando Magic","1","6","9","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","53","2034","Mike Miller","1610612753","Orlando Magic","1","5","31","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","146","200","1","1","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","239","2034","Mike Miller","1610612753","Orlando Magic","2","1","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","132","213","1","1","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","271","2034","Mike Miller","1610612753","Orlando Magic","3","9","36","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","20","-136","158","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","280","2034","Mike Miller","1610612753","Orlando Magic","3","8","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","125","219","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","315","2034","Mike Miller","1610612753","Orlando Magic","3","5","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-124","224","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","386","2034","Mike Miller","1610612753","Orlando Magic","4","11","42","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","17","-145","91","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000064","436","2034","Mike Miller","1610612753","Orlando Magic","4","7","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","16","-115","114","1","0","20001108","ORL","CHH"
"Shot Chart Detail","0020000074","4","2034","Mike Miller","1610612753","Orlando Magic","1","11","17","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001109","CHI","ORL"
"Shot Chart Detail","0020000074","10","2034","Mike Miller","1610612753","Orlando Magic","1","10","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-117","152","1","0","20001109","CHI","ORL"
"Shot Chart Detail","0020000074","290","2034","Mike Miller","1610612753","Orlando Magic","3","10","0","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","20","-200","13","1","0","20001109","CHI","ORL"
"Shot Chart Detail","0020000074","302","2034","Mike Miller","1610612753","Orlando Magic","3","8","33","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-113","230","1","0","20001109","CHI","ORL"
"Shot Chart Detail","0020000074","507","2034","Mike Miller","1610612753","Orlando Magic","4","0","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","21","216","0","1","1","20001109","CHI","ORL"
"Shot Chart Detail","0020000099","376","2034","Mike Miller","1610612753","Orlando Magic","4","9","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","-52","184","1","1","20001112","GSW","ORL"
"Shot Chart Detail","0020000099","391","2034","Mike Miller","1610612753","Orlando Magic","4","7","46","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-160","184","1","1","20001112","GSW","ORL"
"Shot Chart Detail","0020000099","410","2034","Mike Miller","1610612753","Orlando Magic","4","5","57","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-60","184","1","0","20001112","GSW","ORL"
"Shot Chart Detail","0020000099","433","2034","Mike Miller","1610612753","Orlando Magic","4","3","12","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","138","207","1","0","20001112","GSW","ORL"
