"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021300889","100","203488","Mike Muscala","1610612737","Atlanta Hawks","1","0","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","14","1","0","20140302","PHX","ATL"
"Shot Chart Detail","0021300889","127","203488","Mike Muscala","1610612737","Atlanta Hawks","2","11","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","55","184","1","1","20140302","PHX","ATL"
"Shot Chart Detail","0021300889","192","203488","Mike Muscala","1610612737","Atlanta Hawks","2","4","41","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","22","179","138","1","1","20140302","PHX","ATL"
"Shot Chart Detail","0021300889","347","203488","Mike Muscala","1610612737","Atlanta Hawks","3","4","19","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","75","239","1","0","20140302","PHX","ATL"
"Shot Chart Detail","0021300889","377","203488","Mike Muscala","1610612737","Atlanta Hawks","3","1","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","59","187","1","0","20140302","PHX","ATL"
"Shot Chart Detail","0021300889","458","203488","Mike Muscala","1610612737","Atlanta Hawks","4","5","37","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-45","7","1","0","20140302","PHX","ATL"
"Shot Chart Detail","0021300913","69","203488","Mike Muscala","1610612737","Atlanta Hawks","1","4","39","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-46","45","1","0","20140305","POR","ATL"
"Shot Chart Detail","0021300913","83","203488","Mike Muscala","1610612737","Atlanta Hawks","1","3","55","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-133","6","1","0","20140305","POR","ATL"
"Shot Chart Detail","0021300913","86","203488","Mike Muscala","1610612737","Atlanta Hawks","1","3","25","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","20","-45","195","1","0","20140305","POR","ATL"
"Shot Chart Detail","0021300913","91","203488","Mike Muscala","1610612737","Atlanta Hawks","1","3","6","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-2","1","1","20140305","POR","ATL"
