"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800007","132","1629011","Mitchell Robinson","1610612752","New York Knicks","1","3","26","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","-1","1","1","20181017","NYK","ATL"
"Shot Chart Detail","0021800028","335","1629011","Mitchell Robinson","1610612752","New York Knicks","2","0","1","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20181020","NYK","BOS"
"Shot Chart Detail","0021800054","538","1629011","Mitchell Robinson","1610612752","New York Knicks","4","8","6","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","4","1","0","20181024","MIA","NYK"
"Shot Chart Detail","0021800054","547","1629011","Mitchell Robinson","1610612752","New York Knicks","4","6","47","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181024","MIA","NYK"
"Shot Chart Detail","0021800054","597","1629011","Mitchell Robinson","1610612752","New York Knicks","4","3","40","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","9","1","1","20181024","MIA","NYK"
"Shot Chart Detail","0021800068","63","1629011","Mitchell Robinson","1610612752","New York Knicks","1","6","46","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","17","1","0","20181026","NYK","GSW"
"Shot Chart Detail","0021800068","359","1629011","Mitchell Robinson","1610612752","New York Knicks","3","8","37","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","9","1","1","20181026","NYK","GSW"
"Shot Chart Detail","0021800068","390","1629011","Mitchell Robinson","1610612752","New York Knicks","3","6","5","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","3","3","1","1","20181026","NYK","GSW"
"Shot Chart Detail","0021800068","585","1629011","Mitchell Robinson","1610612752","New York Knicks","4","2","28","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","13","1","1","20181026","NYK","GSW"
"Shot Chart Detail","0021800068","605","1629011","Mitchell Robinson","1610612752","New York Knicks","4","1","49","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","9","36","1","0","20181026","NYK","GSW"
"Shot Chart Detail","0021800090","31","1629011","Mitchell Robinson","1610612752","New York Knicks","1","9","18","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181029","NYK","BKN"
"Shot Chart Detail","0021800090","50","1629011","Mitchell Robinson","1610612752","New York Knicks","1","8","5","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","3","37","1","1","20181029","NYK","BKN"
"Shot Chart Detail","0021800090","322","1629011","Mitchell Robinson","1610612752","New York Knicks","3","11","4","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-7","7","1","1","20181029","NYK","BKN"
"Shot Chart Detail","0021800090","326","1629011","Mitchell Robinson","1610612752","New York Knicks","3","10","46","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-5","13","1","1","20181029","NYK","BKN"
"Shot Chart Detail","0021800090","390","1629011","Mitchell Robinson","1610612752","New York Knicks","3","6","18","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-6","18","1","1","20181029","NYK","BKN"
"Shot Chart Detail","0021800105","27","1629011","Mitchell Robinson","1610612752","New York Knicks","1","9","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-3","11","1","0","20181031","NYK","IND"
"Shot Chart Detail","0021800105","227","1629011","Mitchell Robinson","1610612752","New York Knicks","2","6","26","Missed Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","4","28","1","0","20181031","NYK","IND"
"Shot Chart Detail","0021800105","274","1629011","Mitchell Robinson","1610612752","New York Knicks","2","3","52","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","16","1","0","20181031","NYK","IND"
"Shot Chart Detail","0021800121","26","1629011","Mitchell Robinson","1610612752","New York Knicks","1","10","40","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181102","DAL","NYK"
"Shot Chart Detail","0021800121","51","1629011","Mitchell Robinson","1610612752","New York Knicks","1","8","31","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","3","10","1","1","20181102","DAL","NYK"
"Shot Chart Detail","0021800121","357","1629011","Mitchell Robinson","1610612752","New York Knicks","3","11","40","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","1","20181102","DAL","NYK"
"Shot Chart Detail","0021800121","369","1629011","Mitchell Robinson","1610612752","New York Knicks","3","10","30","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","4","1","0","20181102","DAL","NYK"
"Shot Chart Detail","0021800121","421","1629011","Mitchell Robinson","1610612752","New York Knicks","3","6","33","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","7","1","1","20181102","DAL","NYK"
"Shot Chart Detail","0021800121","426","1629011","Mitchell Robinson","1610612752","New York Knicks","3","5","51","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","9","4","1","1","20181102","DAL","NYK"
"Shot Chart Detail","0021800135","58","1629011","Mitchell Robinson","1610612752","New York Knicks","1","8","23","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20181104","WAS","NYK"
"Shot Chart Detail","0021800135","294","1629011","Mitchell Robinson","1610612752","New York Knicks","2","4","55","Missed Shot","Putback Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","42","1","0","20181104","WAS","NYK"
"Shot Chart Detail","0021800135","358","1629011","Mitchell Robinson","1610612752","New York Knicks","2","0","57","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","1","26","1","1","20181104","WAS","NYK"
"Shot Chart Detail","0021800135","361","1629011","Mitchell Robinson","1610612752","New York Knicks","2","0","28","Made Shot","Alley Oop Layup shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","25","51","1","1","20181104","WAS","NYK"
"Shot Chart Detail","0021800135","397","1629011","Mitchell Robinson","1610612752","New York Knicks","3","9","51","Made Shot","Putback Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-1","18","1","1","20181104","WAS","NYK"
"Shot Chart Detail","0021800135","608","1629011","Mitchell Robinson","1610612752","New York Knicks","4","5","19","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","32","11","1","0","20181104","WAS","NYK"
"Shot Chart Detail","0021800143","37","1629011","Mitchell Robinson","1610612752","New York Knicks","1","8","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","12","10","1","0","20181105","NYK","CHI"
"Shot Chart Detail","0021800143","362","1629011","Mitchell Robinson","1610612752","New York Knicks","3","9","24","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-6","22","1","0","20181105","NYK","CHI"
"Shot Chart Detail","0021800155","10","1629011","Mitchell Robinson","1610612752","New York Knicks","1","11","31","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","2","13","1","1","20181107","ATL","NYK"
